ucode,ISO3,combination_id,population,combination,hazardCount,hazardLevel
MMR_V1,MMR,255,112.43538582918106,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,8,Multiple
VNM_V1,VNM,255,12.16489839553833,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,8,Multiple
MDG_V1,MDG,255,3.1357630640268326,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,8,Multiple
AUS_V1,AUS,255,0.0001769999930729682,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,8,Multiple
MMR_V1,MMR,127,44483.19854324109,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire,7,Multiple
CHN_V1,CHN,127,37500.212159969495,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire,7,Multiple
VNM_V1,VNM,127,13259.148151534318,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire,7,Multiple
IRQ_V1,IRQ,251,2679.5707217588215,River Flood + Coastal Flood + Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,7,Multiple
USA_V1,USA,127,2003.163488093432,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire,7,Multiple
ESP_V1,ESP,253,1181.005336202172,River Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,7,Multiple
VNM_V1,VNM,191,1081.0507069439627,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Sand and Dust Storm,7,Multiple
MDG_V1,MDG,127,1044.8927583401091,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire,7,Multiple
MMR_V1,MMR,191,741.7792528729666,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Sand and Dust Storm,7,Multiple
KHM_V1,KHM,253,670.5094485774746,River Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,7,Multiple
PAK_V1,PAK,253,526.4153881534003,River Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,7,Multiple
MMR_V1,MMR,253,480.1828065738082,River Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,7,Multiple
IND_V1,IND,253,466.3142864378169,River Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,7,Multiple
IRN_V1,IRN,251,377.06530762911945,River Flood + Coastal Flood + Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,7,Multiple
IND_V1,IND,223,292.9681730233133,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave + Fire + Sand and Dust Storm,7,Multiple
CHN_V1,CHN,223,270.5489990253409,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave + Fire + Sand and Dust Storm,7,Multiple
MEX_V1,MEX,127,245.86660122854664,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire,7,Multiple
IND_V1,IND,127,243.31570320017636,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire,7,Multiple
VNM_V1,VNM,253,223.11042019212618,River Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,7,Multiple
MDG_V1,MDG,253,176.16418037749827,River Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,7,Multiple
IND_V1,IND,239,112.52915262243911,River Flood + Coastal Flood + Tropical Storm + Drought + Extreme Heat + Fire + Sand and Dust Storm,7,Multiple
MAR_V1,MAR,253,112.10244411975145,River Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,7,Multiple
MEX_V1,MEX,253,102.60338015807793,River Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,7,Multiple
MDG_V1,MDG,191,93.45513855759054,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Sand and Dust Storm,7,Multiple
THA_V1,THA,253,84.61388866632062,River Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,7,Multiple
IND_V1,IND,191,73.16527594022233,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Sand and Dust Storm,7,Multiple
CUB_V2,CUB,127,57.952057181391865,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire,7,Multiple
MOZ_V1,MOZ,127,47.26118605583906,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire,7,Multiple
BGD_V1,BGD,239,46.04382860660553,River Flood + Coastal Flood + Tropical Storm + Drought + Extreme Heat + Fire + Sand and Dust Storm,7,Multiple
CHN_V1,CHN,191,35.04298535734415,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Sand and Dust Storm,7,Multiple
MDG_V1,MDG,247,31.78449308127165,River Flood + Coastal Flood + Tropical Storm + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,7,Multiple
ESP_V1,ESP,127,29.114756015807984,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire,7,Multiple
CHN_V1,CHN,239,28.33123416628223,River Flood + Coastal Flood + Tropical Storm + Drought + Extreme Heat + Fire + Sand and Dust Storm,7,Multiple
MEX_V1,MEX,191,26.568451942617685,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Sand and Dust Storm,7,Multiple
LBY_V1,LBY,251,25.012120022438467,River Flood + Coastal Flood + Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,7,Multiple
ESP_V1,ESP,191,21.949316904470493,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Sand and Dust Storm,7,Multiple
MDG_V1,MDG,239,19.78595892339945,River Flood + Coastal Flood + Tropical Storm + Drought + Extreme Heat + Fire + Sand and Dust Storm,7,Multiple
MMR_V1,MMR,254,17.882816314697266,Coastal Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,7,Multiple
