system:index,ISO3,combination,combination_id,hazardCount,hazardLevel,population,.geo
3226,MMR,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,255,8,Multiple,123.86851155757904,"{""type"":""MultiPoint"",""coordinates"":[]}"
971,CHN,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,255,8,Multiple,44.06983404606581,"{""type"":""MultiPoint"",""coordinates"":[]}"
5575,VNM,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,255,8,Multiple,35.067325592041016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2817,MDG,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,255,8,Multiple,15.67841587215662,"{""type"":""MultiPoint"",""coordinates"":[]}"
448,AUS,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,255,8,Multiple,0.05408200004603714,"{""type"":""MultiPoint"",""coordinates"":[]}"
885,CHN,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire,127,7,Multiple,44526.36532577472,"{""type"":""MultiPoint"",""coordinates"":[]}"
3155,MMR,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire,127,7,Multiple,34532.56000115985,"{""type"":""MultiPoint"",""coordinates"":[]}"
5530,VNM,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire,127,7,Multiple,13864.680889632553,"{""type"":""MultiPoint"",""coordinates"":[]}"
4016,PAK,River Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,253,7,Multiple,4484.5863643959165,"{""type"":""MultiPoint"",""coordinates"":[]}"
2218,IRN,River Flood + Coastal Flood + Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,251,7,Multiple,2723.066538235538,"{""type"":""MultiPoint"",""coordinates"":[]}"
5560,VNM,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Sand and Dust Storm,191,7,Multiple,2170.6029146742076,"{""type"":""MultiPoint"",""coordinates"":[]}"
5170,USA,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire,127,7,Multiple,2123.035295328842,"{""type"":""MultiPoint"",""coordinates"":[]}"
1646,ESP,River Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,253,7,Multiple,1111.5603269251296,"{""type"":""MultiPoint"",""coordinates"":[]}"
