system:index,ISO3,groups,ucode,.geo
00000000000000000051,SHN,[],SHN2_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b2,SHN,[],SHN1_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005d7,SHN,[],SHN3_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005d8,SHN,[],SHN3_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000603,SHN,"[{combination_id=128, sum=241.29543497947355}]",SHN_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000025c,GUM,"[{combination_id=4, sum=37.4170115179163}, {combination_id=6, sum=9.08996775568116}, {combination_id=12, sum=18684.035880872034}, {combination_id=14, sum=97.51961140217084}, {combination_id=20, sum=8.401881114948614}, {combination_id=28, sum=31998.343001300447}, {combination_id=30, sum=248.07758142275406}]",GUM_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000040e,NCL,[],NCL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000040f,NCL,"[{combination_id=4, sum=1233.6200562920405}, {combination_id=6, sum=88.80104818653209}, {combination_id=12, sum=232.59969421416253}, {combination_id=14, sum=20.74522703167818}, {combination_id=20, sum=4336.275833961765}, {combination_id=22, sum=23.226026634243773}, {combination_id=28, sum=1077.5821813459625}, {combination_id=30, sum=15.29116804181831}, {combination_id=68, sum=282.73801663175254}, {combination_id=70, sum=3.702126769818292}, {combination_id=76, sum=54.66880980785936}, {combination_id=84, sum=397.1621221666313}, {combination_id=86, sum=9.501929375861645}, {combination_id=92, sum=145.57894054179962}, {combination_id=94, sum=8.463991046331676}]",NCL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000410,NCL,"[{combination_id=4, sum=157.36469569935048}, {combination_id=12, sum=90.45287994996589}]",NCL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000411,NCL,"[{combination_id=4, sum=20963.13174266039}, {combination_id=6, sum=1190.3968037699615}, {combination_id=12, sum=4642.932824378057}, {combination_id=14, sum=98.12992818467318}, {combination_id=20, sum=22659.757796179598}, {combination_id=22, sum=211.19499786956607}, {combination_id=28, sum=8450.024942812901}, {combination_id=30, sum=38.7502979786117}, {combination_id=68, sum=155.42101033486097}, {combination_id=76, sum=24.806305057369173}, {combination_id=84, sum=5390.778565623964}, {combination_id=86, sum=73.02661694445095}, {combination_id=92, sum=1191.7217776522054}, {combination_id=94, sum=0.20132782596035623}, {combination_id=132, sum=9.040135284148011}, {combination_id=134, sum=14.620218992233276}, {combination_id=148, sum=14.974149994552135}, {combination_id=156, sum=7.0818100199103355}]",NCL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000412,NCL,[],NCL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000467,GIB,"[{combination_id=4, sum=5713.961813787883}, {combination_id=5, sum=115.53028533224966}, {combination_id=68, sum=240.0041421609182}, {combination_id=69, sum=37.2647246492844}, {combination_id=132, sum=625.7104495455238}]",GIB_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005cb,ESH,"[{combination_id=4, sum=7684.316372582594}, {combination_id=6, sum=519.673872295168}, {combination_id=20, sum=387.77152824401855}, {combination_id=132, sum=16771.02352550878}, {combination_id=133, sum=139.81509214267135}, {combination_id=134, sum=438.02754741247526}, {combination_id=135, sum=17.393273182213306}, {combination_id=140, sum=15800.684222089178}, {combination_id=141, sum=5.668509006500244}, {combination_id=142, sum=388.09200602778617}, {combination_id=148, sum=7656.836978626436}, {combination_id=149, sum=346.1211246661842}, {combination_id=150, sum=145.16502667782353}, {combination_id=156, sum=43.156194108140234}, {combination_id=158, sum=23.17038631439209}, {combination_id=164, sum=2179.589432099326}, {combination_id=165, sum=86.11034647841007}, {combination_id=172, sum=168.63215962657705}, {combination_id=173, sum=8.821961045265198}, {combination_id=180, sum=1523.2064558938146}, {combination_id=181, sum=36.09083441644907}, {combination_id=188, sum=1043.7249170445161}, {combination_id=189, sum=8.187511056661606}]",ESH_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005cc,ESH,"[{combination_id=4, sum=0.315548999235034}, {combination_id=132, sum=6.83343605697155}, {combination_id=148, sum=70.19868404834222}, {combination_id=149, sum=0.8852109909057617}, {combination_id=160, sum=460.9547812283331}, {combination_id=164, sum=5650.082649228192}, {combination_id=165, sum=431.8899859935045}, {combination_id=168, sum=10196.504485718906}, {combination_id=169, sum=18.82851219177246}, {combination_id=172, sum=5156.808249897556}, {combination_id=173, sum=7.644574897596613}, {combination_id=180, sum=3431.3466379642487}, {combination_id=181, sum=2345.7830227017403}, {combination_id=188, sum=60.20555207133293}]",ESH_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005cd,ESH,"[{combination_id=4, sum=21.64102148729212}, {combination_id=5, sum=59.42890274524689}, {combination_id=6, sum=276.09349484313645}, {combination_id=7, sum=7.060072839260101}, {combination_id=12, sum=0.7056280076503754}, {combination_id=20, sum=2612.731777937842}, {combination_id=21, sum=19.205414094030857}, {combination_id=22, sum=60.13051476572074}, {combination_id=28, sum=1.1607520580291748}, {combination_id=44, sum=82.14567977562547}, {combination_id=45, sum=7.187858015298843}, {combination_id=132, sum=1544.102513777713}, {combination_id=133, sum=1517.0988132816028}, {combination_id=134, sum=193.1713581787021}, {combination_id=135, sum=173.88939493567335}, {combination_id=140, sum=208.46295314654708}, {combination_id=141, sum=64.77144369482994}, {combination_id=148, sum=26693.195591295207}, {combination_id=149, sum=5137.30074672718}, {combination_id=150, sum=545.8177529963209}, {combination_id=151, sum=24.52135519508053}, {combination_id=156, sum=2322.198886467144}, {combination_id=157, sum=128.72211734205484}, {combination_id=172, sum=10094.088513236777}, {combination_id=173, sum=449.3821315593086}, {combination_id=180, sum=625.0737931542099}, {combination_id=188, sum=9436.565418722108}, {combination_id=189, sum=1682.744279421866}]",ESH_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005ce,ESH,"[{combination_id=164, sum=21.827160120010376}, {combination_id=172, sum=244.54753778874874}, {combination_id=180, sum=4461.398652025229}, {combination_id=181, sum=983.3538843765855}, {combination_id=188, sum=1562.4506203122437}, {combination_id=189, sum=5.334565959870815}]",ESH_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022,GRL,"[{combination_id=16, sum=0.583518987309699}]",GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023,GRL,"[{combination_id=2, sum=4.333209931755475}, {combination_id=16, sum=188.04815726167726}, {combination_id=18, sum=1.222823989461176}]",GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024,GRL,[],GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025,GRL,[],GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026,GRL,[],GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027,GRL,"[{combination_id=2, sum=64.19722265978069}, {combination_id=16, sum=61.826060751810964}, {combination_id=18, sum=19.68993169095586}, {combination_id=24, sum=0.101117295961754}]",GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028,GRL,[],GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029,GRL,[],GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a,GRL,"[{combination_id=2, sum=48.962560730354454}, {combination_id=16, sum=2263.0712653857818}, {combination_id=18, sum=682.8743280034436}, {combination_id=24, sum=17.65989131857367}, {combination_id=26, sum=18.93286883159011}]",GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b,GRL,"[{combination_id=2, sum=41.606644837061566}, {combination_id=8, sum=26.490862791094123}, {combination_id=10, sum=97.3130775156851}, {combination_id=16, sum=1152.1836519683109}, {combination_id=18, sum=45.14499494585337}, {combination_id=24, sum=181.55816574927928}, {combination_id=25, sum=11.165402948856354}, {combination_id=26, sum=342.01506318747994}]",GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c,GRL,"[{combination_id=2, sum=70.33988294870245}, {combination_id=8, sum=7.052469916641712}, {combination_id=16, sum=13.036497056484222}]",GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d,GRL,[],GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e,GRL,[],GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f,GRL,[],GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030,GRL,"[{combination_id=2, sum=66.87318106749478}, {combination_id=8, sum=254.93148243427277}, {combination_id=10, sum=6.145289352711509}, {combination_id=16, sum=1.6075280010700226}, {combination_id=24, sum=758.9497041985685}, {combination_id=26, sum=68.1815923640541}]",GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031,GRL,[],GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032,GRL,[],GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033,GRL,[],GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034,GRL,[],GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000035,GRL,[],GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000036,GRL,"[{combination_id=8, sum=0.09457355574065564}, {combination_id=16, sum=10.920686598428908}, {combination_id=18, sum=2.161084923148155}]",GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000037,GRL,[],GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038,GRL,[],GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039,GRL,[],GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003a,GRL,[],GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b,GRL,[],GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
