iso3,agricultural_drought_absolute,agricultural_drought_relative,air_pollution_absolute,air_pollution_relative,coastal_flood_absolute,coastal_flood_relative,drought_spei_absolute,drought_spei_relative,drought_spi_absolute,drought_spi_relative,extreme_heat_absolute,extreme_heat_relative,fire_FRP_absolute,fire_FRP_relative,fire_frequency_absolute,fire_frequency_relative,heatwave_duration_absolute,heatwave_duration_relative,heatwave_frequency_absolute,heatwave_frequency_relative,heatwave_severity_absolute,heatwave_severity_relative,pluvial_flood_absolute,pluvial_flood_relative,river_flood_absolute,river_flood_relative,sand_dust_absolute,sand_dust_relative,tropical_storm_absolute,tropical_storm_relative,vectorborne_malariapf_absolute,vectorborne_malariapf_relative,vectorborne_malariapv_absolute,vectorborne_malariapv_relative
RWA,7.995526026706976,7.53098097491611,8.199746439003256,9.969105727663843,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.963901833525253,1.5193115956942624,2.7139917022711986,1.0,8.243117927348695,10.0,8.389939756827822,10.0,1.0,1.0,4.779299020796414,1.0,4.442563710972237,1.0,2.0885623088229175,1.0,1.0,1.0,8.060866464196831,8.229616415244267,1.0,1.0
ASM,1.0,1.0,1.0,1.0,1.0,1.0,4.267718458777872,9.99723376134133,4.267718458777872,9.99723376134133,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,4.267916713703064,10.0,1.0,1.0,1.0,1.0
AGO,8.025273898790944,3.142288190269511,8.939636007420127,9.997792187170612,4.850377491629095,1.0,8.847017592087502,8.793265252579058,8.852639935091997,8.861605012446118,7.712312949543568,2.29038596587363,8.569774286136788,2.667981822655709,8.975694483050011,10.0,8.890313791885692,8.774710639350891,8.998241141057179,8.185872258151488,1.0,1.0,7.383881539748218,1.3248980800747137,7.1110801229824325,1.6603854946527639,8.205649658280938,2.0042651708960304,1.0,1.0,8.92274681311358,9.765187949376074,1.0,1.0
ATA,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BLZ,1.0,1.0,5.5487585185961175,8.264214479051809,3.2560189870712755,1.43070224449191,1.0,1.0,1.0,1.0,4.7864465287113385,3.191439520047317,4.528957797648786,2.584646979894662,4.2299639971852745,2.6961930714907374,5.557819305811085,8.076564733505958,5.650208712642048,8.076564733505958,1.0,1.0,4.100793417373099,1.7576080671892373,4.517089166165812,3.422671114870413,1.501369571186426,1.0,5.686784530606488,10.0,3.5812224710967833,1.2679296095231687,3.5812224710967833,1.2679624204117033
BEL,6.690788839359582,3.390169156383032,7.5367391199712905,10.0,6.041993006426275,3.1843194698932846,7.386365879480692,8.12612053113822,6.776792628465131,3.7403285301295934,1.0,1.0,6.023034504761498,1.402629381886137,5.6240288413692054,1.4919833676100573,3.2151935022029265,1.0,7.503220782423025,7.60765046962393,7.518622892328606,8.084468295908245,6.157980577411211,1.6779064374404626,5.638631048934849,1.626671357371607,2.0119074230582386,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UMI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BTN,4.199938122204587,1.512928018357116,5.966469395362658,10.0,1.0,1.0,5.850527878252134,8.517834870727304,5.176579572503032,3.613137060075456,1.0,1.0,5.370921753592325,4.2127181041490935,4.364006720999524,2.261096048671539,3.4441386182488323,1.0943567738124977,3.8255591580633355,1.2134726168440535,2.4733363711593443,1.0,2.7118095110912677,1.0,3.9283377087091966,1.521821215161103,1.0,1.0,1.0,1.0,3.8201755595799805,1.2461800464295816,3.820734326071382,1.2464994875580266
ATF,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AZE,7.297430970232279,6.185757851944097,7.582137800992516,9.078003268125208,1.0,1.0,7.498316905261158,8.091723297823307,7.45136323399691,7.592240651985527,6.798755488218028,3.3632875736402847,6.50911378307845,1.784841640121527,4.70717478116278,1.0,6.699507207260211,2.9142780178871175,7.288377090079763,4.979955966491246,6.748625784896609,2.8000338124524813,5.5812070092755945,1.1391314054137978,6.020136139306729,2.0155442259250287,6.403318284645801,1.6234610053178744,1.0,1.0,1.0,1.0,1.0,1.0
