iso3,P2_DTP1_access_value_normalized,P2_Child_marriage_value_normalized,P2_Lower_secondary_completion_rate_value_normalized,P2_Skilled_birth_coverage_value_normalized,P2_Basic_hygiene_value_normalized,P2_Under_five_mortality_value_normalized,P2_Child_Food_Poverty_value_normalized,P2_Child_poverty_value_normalized,P2_Stunting_value_normalized,P2_At-least_basic_sanitation_value_normalized,P2_At-least_basic_drinking_water_value_normalized,P2_Child_labor_value_normalized,P2_Learning_poverty_value_normalized,P2_Lower_secondary_out_of_school_value_normalized,P2_electricity_access_value_normalized,P2_Under_five_covered_by_social_protection_value_normalized,P2_DTP3_access_value_normalized,P2_arithmetic_avg,rank_reverse
AFG,6.4,4.7049180327868845,7.14986456735064,4.772393538913362,5.0064227275404685,5.243290510993517,7.681303150464777,,8.37520979063813,5.076198423819215,2.9800945584053586,4.6923076923076925,,6.717458965517241,1.6333333333333346,9.96,6.724137931034483,6.300075197324026,20.0
AGO,5.600000000000001,3.7868852459016393,7.231054695245094,7.400881057268721,6.569194030574673,4.834911347611004,4.636359965434532,7.023085132408503,9.525760861131868,5.544801341345189,4.981333307291699,3.333333333333333,,2.462744827586207,5.722222222222223,9.97,5.862068965517241,5.809179904636308,24.0
ALB,0.0,1.9344262295081966,0.24322913012571767,0.0,,0.8069195494487915,2.7472925062387445,0.5847305447355479,1.2999873411001808,0.07811992811894264,0.7588116015340027,,0.7617700476395367,0.18965515517241377,0.0,7.539999999999999,0.1724137931034484,1.383876899867969,135.0
AND,0.0,,,0.0,,0.1263530276885831,,,,0.0,1.7763568394002505e-15,,,,0.0,8.78,0.0,2.2265882569221462,110.0
ARE,0.3999999999999986,,,0.0,,0.3574707606681733,,,,0.10186283087115733,1.7763568394002505e-15,,2.4122364646509995,,0.0,9.98,0.3448275862068968,2.5973691074612955,88.0
ARG,3.6000000000000014,2.540983606557377,2.340209963820156,0.10279001468428817,,0.8359911246100992,,,1.9742166795297422,0.5777457035091782,0.14904329009066686,0.2564102564102564,5.910230536209904,0.023943810344827593,0.0,1.2200000000000006,3.9655172413793105,1.4953577356996826,131.0
ARM,0.1999999999999993,0.8688524590163933,0.31315480596913403,0.02936857562408335,0.5808686154243041,0.8432091438197818,2.137518877752922,0.14749039306967404,1.0519545749672299,0.7067041652339761,0.010638883277819033,0.7948717948717947,2.551699588173305,0.0,0.0,6.82,0.6896551724137936,1.1958568309563482,145.0
ATG,0.0,,,0.14684287812040964,,0.7890475767568909,,,,0.043983818054853074,0.16749002895810428,,,,0.0,,0.0,0.31049840659782396,170.0
AUS,1.0,,,0.22026431718061446,,0.23770226623434634,,,0.42425690216303846,0.0,0.0047208765034234546,,0.6382778569271684,,0.0,0.0,0.862068965517242,0.3038634640417882,171.0
AUT,0.6000000000000014,,,0.19089574155653466,,0.20889941979908164,,,,0.003112102034306119,4.36145040083602e-07,,1.2598979347630528,,0.0,0.0,2.2413793103448265,0.44568447732542965,163.0
AZE,6.600000000000001,2.4590163934426226,,0.02936857562408335,0.41923634420147415,1.6839825114808882,1.1440039411094869,,1.1836275506662257,0.1139521521593192,0.3594472576578376,1.051282051282051,3.6365023161235577,,0.0,8.97,8.103448275862068,3.027171322866532,72.0
BDI,1.8000000000000007,3.1147540983606556,8.865509459515486,3.6417033773861958,9.754197100103934,4.638236581900261,2.7085274948919023,3.0021791880282422,9.999999999999998,6.176327755331023,5.298758874342775,10.0,9.770405819541526,4.896551724137931,9.966666666666667,7.98,1.5517241379310356,6.028796299384885,22.0
BEL,0.0,0.01639344262295082,,,,0.24932533257108422,,,0.3245986924581542,0.057314397758819524,1.7763568394002505e-15,,0.5817899202045632,,0.0,0.0,0.1724137931034484,0.1797479787291399,183.0
BEN,4.4,4.508196721311475,9.272730060335846,2.819383259911894,9.076803799541713,7.442741116324317,5.643232678904566,9.473742434953682,6.573337906871333,8.673477547350751,4.728514281156647,4.846153846153845,5.555379365619852,6.965517586206897,4.833333333333334,8.8,6.0344827586206895,6.6634781373988785,14.0
BFA,0.6000000000000014,8.409836065573769,,0.6167400881057254,7.7213521390204995,7.457011895417321,4.942005927816319,,3.780968365001,7.608424341762678,7.774004692639512,5.0256410256410255,7.459072715357725,,8.944444444444445,9.13,1.2068965517241388,6.5240844235715105,17.0
BGD,0.0,7.737704918032787,4.010044164973738,4.449339207048458,2.935817807648606,2.961126530266969,3.2443407121455627,,4.9143074152568325,3.6124498905281257,0.18928538121293315,2.102564102564102,5.075789602179273,2.0689655172413794,0.06666666666666643,5.55,0.1724137931034484,3.5209724965094202,62.0
