Regional_Grouping,Region,Region_Code,Country,ISO3Code
WB_INCOME,World Bank (high income),WB_HI,American Samoa,ASM
WB_INCOME,World Bank (high income),WB_HI,Andorra,AND
WB_INCOME,World Bank (high income),WB_HI,Antigua and Barbuda,ATG
WB_INCOME,World Bank (high income),WB_HI,Aruba,ABW
WB_INCOME,World Bank (high income),WB_HI,Australia,AUS
WB_INCOME,World Bank (high income),WB_HI,Austria,AUT
WB_INCOME,World Bank (high income),WB_HI,Bahamas,BHS
WB_INCOME,World Bank (high income),WB_HI,Bahrain,BHR
WB_INCOME,World Bank (high income),WB_HI,Barbados,BRB
WB_INCOME,World Bank (high income),WB_HI,Belgium,BEL
WB_INCOME,World Bank (high income),WB_HI,Bermuda,BMU
WB_INCOME,World Bank (high income),WB_HI,British Virgin Islands,VGB
WB_INCOME,World Bank (high income),WB_HI,Brunei Darussalam,BRN
WB_INCOME,World Bank (high income),WB_HI,Bulgaria,BGR
WB_INCOME,World Bank (high income),WB_HI,Canada,CAN
WB_INCOME,World Bank (high income),WB_HI,Cayman Islands,CYM
WB_INCOME,World Bank (high income),WB_HI,Channel Islands,CHI
WB_INCOME,World Bank (high income),WB_HI,Chile,CHL
WB_INCOME,World Bank (high income),WB_HI,"China, Hong Kong Special Administrative Region",HKG
WB_INCOME,World Bank (high income),WB_HI,"China, Macao Special Administrative Region",MAC
WB_INCOME,World Bank (high income),WB_HI,"China, Taiwan Province of China",TWN
WB_INCOME,World Bank (high income),WB_HI,Costa Rica,CRI
WB_INCOME,World Bank (high income),WB_HI,Croatia,HRV
WB_INCOME,World Bank (high income),WB_HI,Curaçao,CUW
WB_INCOME,World Bank (high income),WB_HI,Cyprus,CYP
WB_INCOME,World Bank (high income),WB_HI,Czechia,CZE
WB_INCOME,World Bank (high income),WB_HI,Denmark,DNK
WB_INCOME,World Bank (high income),WB_HI,Estonia,EST
WB_INCOME,World Bank (high income),WB_HI,Faroe Islands,FRO
WB_INCOME,World Bank (high income),WB_HI,Finland,FIN
WB_INCOME,World Bank (high income),WB_HI,France,FRA
WB_INCOME,World Bank (high income),WB_HI,French Polynesia,PYF
WB_INCOME,World Bank (high income),WB_HI,Germany,DEU
WB_INCOME,World Bank (high income),WB_HI,Gibraltar,GIB
WB_INCOME,World Bank (high income),WB_HI,Greece,GRC
WB_INCOME,World Bank (high income),WB_HI,Greenland,GRL
WB_INCOME,World Bank (high income),WB_HI,Guam,GUM
WB_INCOME,World Bank (high income),WB_HI,Guyana,GUY
WB_INCOME,World Bank (high income),WB_HI,Hungary,HUN
WB_INCOME,World Bank (high income),WB_HI,Iceland,ISL
WB_INCOME,World Bank (high income),WB_HI,Ireland,IRL
WB_INCOME,World Bank (high income),WB_HI,Isle of Man,IMN
WB_INCOME,World Bank (high income),WB_HI,Israel,ISR
WB_INCOME,World Bank (high income),WB_HI,Italy,ITA
WB_INCOME,World Bank (high income),WB_HI,Japan,JPN
WB_INCOME,World Bank (high income),WB_HI,Kuwait,KWT
WB_INCOME,World Bank (high income),WB_HI,Latvia,LVA
WB_INCOME,World Bank (high income),WB_HI,Liechtenstein,LIE
WB_INCOME,World Bank (high income),WB_HI,Lithuania,LTU
WB_INCOME,World Bank (high income),WB_HI,Luxembourg,LUX
WB_INCOME,World Bank (high income),WB_HI,Malta,MLT
WB_INCOME,World Bank (high income),WB_HI,Monaco,MCO
WB_INCOME,World Bank (high income),WB_HI,Nauru,NRU
WB_INCOME,World Bank (high income),WB_HI,Netherlands (Kingdom of the),NLD
WB_INCOME,World Bank (high income),WB_HI,New Caledonia,NCL
WB_INCOME,World Bank (high income),WB_HI,New Zealand,NZL
WB_INCOME,World Bank (high income),WB_HI,Northern Mariana Islands,MNP
WB_INCOME,World Bank (high income),WB_HI,Norway,NOR
WB_INCOME,World Bank (high income),WB_HI,Oman,OMN
WB_INCOME,World Bank (high income),WB_HI,Palau,PLW
WB_INCOME,World Bank (high income),WB_HI,Panama,PAN
WB_INCOME,World Bank (high income),WB_HI,Poland,POL
WB_INCOME,World Bank (high income),WB_HI,Portugal,PRT
WB_INCOME,World Bank (high income),WB_HI,Puerto Rico,PRI
WB_INCOME,World Bank (high income),WB_HI,Qatar,QAT
WB_INCOME,World Bank (high income),WB_HI,Republic of Korea,KOR
WB_INCOME,World Bank (high income),WB_HI,Romania,ROU
WB_INCOME,World Bank (high income),WB_HI,Russian Federation,RUS
WB_INCOME,World Bank (high income),WB_HI,Saint Kitts and Nevis,KNA
WB_INCOME,World Bank (high income),WB_HI,Saint Martin (French part),MAF
WB_INCOME,World Bank (high income),WB_HI,San Marino,SMR
WB_INCOME,World Bank (high income),WB_HI,Saudi Arabia,SAU
WB_INCOME,World Bank (high income),WB_HI,Seychelles,SYC
WB_INCOME,World Bank (high income),WB_HI,Singapore,SGP
WB_INCOME,World Bank (high income),WB_HI,Sint Maarten,SXM
WB_INCOME,World Bank (high income),WB_HI,Slovakia,SVK
WB_INCOME,World Bank (high income),WB_HI,Slovenia,SVN
WB_INCOME,World Bank (high income),WB_HI,Spain,ESP
WB_INCOME,World Bank (high income),WB_HI,Sweden,SWE
WB_INCOME,World Bank (high income),WB_HI,Switzerland,CHE
WB_INCOME,World Bank (high income),WB_HI,Trinidad and Tobago,TTO
WB_INCOME,World Bank (high income),WB_HI,Turks and Caicos Islands,TCA
WB_INCOME,World Bank (high income),WB_HI,United Arab Emirates,ARE
WB_INCOME,World Bank (high income),WB_HI,United Kingdom,GBR
WB_INCOME,World Bank (high income),WB_HI,United States,USA
WB_INCOME,World Bank (high income),WB_HI,Uruguay,URY
WB_INCOME,World Bank (high income),WB_HI,Virgin Islands U.S.,VIR
WB_INCOME,World Bank (low income),WB_LI,Afghanistan,AFG
WB_INCOME,World Bank (low income),WB_LI,Burkina Faso,BFA
WB_INCOME,World Bank (low income),WB_LI,Burundi,BDI
WB_INCOME,World Bank (low income),WB_LI,Central African Republic,CAF
WB_INCOME,World Bank (low income),WB_LI,Chad,TCD
WB_INCOME,World Bank (low income),WB_LI,Democratic People's Republic of Korea,PRK
WB_INCOME,World Bank (low income),WB_LI,Democratic Republic of the Congo,COD
WB_INCOME,World Bank (low income),WB_LI,Eritrea,ERI
WB_INCOME,World Bank (low income),WB_LI,Gambia,GMB
WB_INCOME,World Bank (low income),WB_LI,Guinea-Bissau,GNB
WB_INCOME,World Bank (low income),WB_LI,Liberia,LBR
WB_INCOME,World Bank (low income),WB_LI,Madagascar,MDG
WB_INCOME,World Bank (low income),WB_LI,Malawi,MWI
WB_INCOME,World Bank (low income),WB_LI,Mali,MLI
WB_INCOME,World Bank (low income),WB_LI,Mozambique,MOZ
WB_INCOME,World Bank (low income),WB_LI,Niger,NER
WB_INCOME,World Bank (low income),WB_LI,Rwanda,RWA
WB_INCOME,World Bank (low income),WB_LI,Sierra Leone,SLE
WB_INCOME,World Bank (low income),WB_LI,Somalia,SOM
WB_INCOME,World Bank (low income),WB_LI,South Sudan,SSD
WB_INCOME,World Bank (low income),WB_LI,Sudan,SDN
WB_INCOME,World Bank (low income),WB_LI,Syrian Arab Republic,SYR
WB_INCOME,World Bank (low income),WB_LI,Togo,TGO
WB_INCOME,World Bank (low income),WB_LI,Uganda,UGA
WB_INCOME,World Bank (low income),WB_LI,Yemen,YEM
WB_INCOME,World Bank (lower middle income),WB_LMI,Angola,AGO
WB_INCOME,World Bank (lower middle income),WB_LMI,Bangladesh,BGD
WB_INCOME,World Bank (lower middle income),WB_LMI,Benin,BEN
WB_INCOME,World Bank (lower middle income),WB_LMI,Bhutan,BTN
WB_INCOME,World Bank (lower middle income),WB_LMI,Bolivia (Plurinational State of),BOL
WB_INCOME,World Bank (lower middle income),WB_LMI,Cambodia,KHM
WB_INCOME,World Bank (lower middle income),WB_LMI,Cameroon,CMR
WB_INCOME,World Bank (lower middle income),WB_LMI,Comoros,COM
WB_INCOME,World Bank (lower middle income),WB_LMI,Congo,COG
WB_INCOME,World Bank (lower middle income),WB_LMI,Côte d'Ivoire,CIV
WB_INCOME,World Bank (lower middle income),WB_LMI,Djibouti,DJI
WB_INCOME,World Bank (lower middle income),WB_LMI,Egypt,EGY
WB_INCOME,World Bank (lower middle income),WB_LMI,Eswatini,SWZ
WB_INCOME,World Bank (lower middle income),WB_LMI,Ghana,GHA
WB_INCOME,World Bank (lower middle income),WB_LMI,Guinea,GIN
WB_INCOME,World Bank (lower middle income),WB_LMI,Haiti,HTI
WB_INCOME,World Bank (lower middle income),WB_LMI,Honduras,HND
WB_INCOME,World Bank (lower middle income),WB_LMI,India,IND
WB_INCOME,World Bank (lower middle income),WB_LMI,Jordan,JOR
WB_INCOME,World Bank (lower middle income),WB_LMI,Kenya,KEN
WB_INCOME,World Bank (lower middle income),WB_LMI,Kiribati,KIR
WB_INCOME,World Bank (lower middle income),WB_LMI,Kyrgyzstan,KGZ
WB_INCOME,World Bank (lower middle income),WB_LMI,Lao People's Democratic Republic,LAO
WB_INCOME,World Bank (lower middle income),WB_LMI,Lebanon,LBN
WB_INCOME,World Bank (lower middle income),WB_LMI,Lesotho,LSO
WB_INCOME,World Bank (lower middle income),WB_LMI,Mauritania,MRT
WB_INCOME,World Bank (lower middle income),WB_LMI,Micronesia (Federated States of),FSM
WB_INCOME,World Bank (lower middle income),WB_LMI,Morocco,MAR
WB_INCOME,World Bank (lower middle income),WB_LMI,Myanmar,MMR
WB_INCOME,World Bank (lower middle income),WB_LMI,Namibia,NAM
WB_INCOME,World Bank (lower middle income),WB_LMI,Nepal,NPL
WB_INCOME,World Bank (lower middle income),WB_LMI,Nicaragua,NIC
WB_INCOME,World Bank (lower middle income),WB_LMI,Nigeria,NGA
WB_INCOME,World Bank (lower middle income),WB_LMI,Pakistan,PAK
WB_INCOME,World Bank (lower middle income),WB_LMI,Papua New Guinea,PNG
WB_INCOME,World Bank (lower middle income),WB_LMI,Philippines,PHL
WB_INCOME,World Bank (lower middle income),WB_LMI,Sao Tome and Principe,STP
WB_INCOME,World Bank (lower middle income),WB_LMI,Senegal,SEN
WB_INCOME,World Bank (lower middle income),WB_LMI,Solomon Islands,SLB
WB_INCOME,World Bank (lower middle income),WB_LMI,Sri Lanka,LKA
WB_INCOME,World Bank (lower middle income),WB_LMI,State of Palestine,PSE
WB_INCOME,World Bank (lower middle income),WB_LMI,Tajikistan,TJK
WB_INCOME,World Bank (lower middle income),WB_LMI,Timor-Leste,TLS
WB_INCOME,World Bank (lower middle income),WB_LMI,Tunisia,TUN
WB_INCOME,World Bank (lower middle income),WB_LMI,United Republic of Tanzania,TZA
WB_INCOME,World Bank (lower middle income),WB_LMI,Uzbekistan,UZB
WB_INCOME,World Bank (lower middle income),WB_LMI,Vanuatu,VUT
WB_INCOME,World Bank (lower middle income),WB_LMI,Viet Nam,VNM
WB_INCOME,World Bank (lower middle income),WB_LMI,Zambia,ZMB
WB_INCOME,World Bank (lower middle income),WB_LMI,Zimbabwe,ZWE
WB_INCOME,World Bank (upper middle income),WB_UMI,Albania,ALB
WB_INCOME,World Bank (upper middle income),WB_UMI,Algeria,DZA
WB_INCOME,World Bank (upper middle income),WB_UMI,Argentina,ARG
WB_INCOME,World Bank (upper middle income),WB_UMI,Armenia,ARM
WB_INCOME,World Bank (upper middle income),WB_UMI,Azerbaijan,AZE
WB_INCOME,World Bank (upper middle income),WB_UMI,Belarus,BLR
WB_INCOME,World Bank (upper middle income),WB_UMI,Belize,BLZ
WB_INCOME,World Bank (upper middle income),WB_UMI,Bosnia and Herzegovina,BIH
WB_INCOME,World Bank (upper middle income),WB_UMI,Botswana,BWA
WB_INCOME,World Bank (upper middle income),WB_UMI,Brazil,BRA
WB_INCOME,World Bank (upper middle income),WB_UMI,Cabo Verde,CPV
WB_INCOME,World Bank (upper middle income),WB_UMI,China,CHN
WB_INCOME,World Bank (upper middle income),WB_UMI,Colombia,COL
WB_INCOME,World Bank (upper middle income),WB_UMI,Cuba,CUB
WB_INCOME,World Bank (upper middle income),WB_UMI,Dominica,DMA
