ISO3,P1,P2,Quadrant
AFG,6.277491824108527,6.332815659343654,"High P1, High P2"
AGO,5.735499982789255,6.188342109238339,"High P1, High P2"
ALB,2.9739599429563857,1.3840715104017514,"Low P1, Low P2"
ARE,4.989542013978708,2.6113179707357683,"High P1, High P2"
ARG,4.769594283064541,1.5080770484579322,"High P1, Low P2"
ARM,2.416544861183477,1.1995092266666174,"Low P1, Low P2"
AUS,4.944747621007496,0.3194603743849079,"High P1, Low P2"
AUT,2.2010575554660896,0.4403045602809324,"Low P1, Low P2"
AZE,3.855539124859077,3.033980873435932,"Low P1, High P2"
BDI,2.7829767694696885,5.972516368440327,"Low P1, High P2"
BEL,3.2927169549364965,0.1759033873094971,"Low P1, Low P2"
BEN,5.253016651188278,6.709093004662294,"High P1, High P2"
BFA,4.502445466706349,6.548382779513156,"High P1, High P2"
BGD,9.327584341549947,3.531021113371644,"High P1, High P2"
BGR,2.457745660015547,1.3485862508174131,"Low P1, Low P2"
BIH,2.0157952508444525,2.4888473477863107,"Low P1, Low P2"
BLR,2.496492538163509,0.1625171495706086,"Low P1, Low P2"
BLZ,4.253563381837485,2.7725642190895914,"Low P1, High P2"
BOL,5.635749900858771,2.800457678564257,"High P1, High P2"
BRA,5.894869610406889,1.4011613741925737,"High P1, Low P2"
BRN,1.6373956094272613,0.655999260579859,"Low P1, Low P2"
BTN,1.9264637152186688,3.866052376814958,"Low P1, High P2"
BWA,4.095368403649911,3.6232396705522376,"Low P1, High P2"
CAF,4.628379242044993,8.579585627133126,"High P1, High P2"
CAN,3.6752936876544338,0.2924622605058476,"Low P1, Low P2"
CHE,2.463530935544439,0.1105663943428762,"Low P1, Low P2"
CHL,3.277875240263623,1.0378658023329506,"Low P1, Low P2"
CHN,8.60544842929031,1.882066356208636,"High P1, Low P2"
CIV,4.697550136385207,5.754306648260325,"High P1, High P2"
CMR,5.30158687402038,5.35347192863611,"High P1, High P2"
COD,5.561223111597249,6.7659305170292665,"High P1, High P2"
COG,4.338886590761003,4.172745672980603,"Low P1, High P2"
COL,6.435037804514252,2.4050994820303373,"High P1, Low P2"
CRI,3.5698630225238555,1.3452053447167462,"Low P1, Low P2"
CUB,4.612397178995651,2.558120612428794,"High P1, High P2"
CZE,2.12169393326996,1.8094334663760627,"Low P1, Low P2"
DEU,3.216472205220356,0.4011151369638583,"Low P1, Low P2"
DJI,3.558908983202798,4.55132454378522,"Low P1, High P2"
DNK,2.6388140630094155,0.1243380110962165,"Low P1, Low P2"
DOM,3.6360197958072265,2.390378174178989,"Low P1, Low P2"
DZA,5.734994736616977,1.6117793778507985,"High P1, Low P2"
ECU,4.0417680861090695,2.8626910436522195,"Low P1, High P2"
EGY,5.925329814788035,3.007931717952521,"High P1, High P2"
ERI,5.369977292732147,6.512433321766446,"High P1, High P2"
ESP,5.807305049680086,1.0668049576793943,"High P1, Low P2"
