ISO3,name,child_population,child_population_gpw
ATA,Antarctica,0.0,0.0
AIA,Anguilla,2185.074247580468,2124.6355532337643
ESH,Western Sahara,134475.11864809738,134061.63429495465
PYF,French Polynesia,40645.936641718166,71209.04832629152
PYF,Clipperton Island,0.0,0.0
NCL,New Caledonia,67746.4701150387,73725.93695376407
BMU,Bermuda,5593.604894746884,6284.157888228632
GIB,Gibraltar,2029.32848584716,2919.4684572556444
VGB,British Virgin Islands,3996.496349790724,3872.57891841655
CYM,Cayman Islands,8130.71842458436,7226.459471899485
FLK,Falkland Islands (Malvinas),577.2026465707424,472.4494103568422
MSR,Montserrat,748.7072648465414,958.4126587066745
PCN,Pitcairn,0.0,7.669607709981866
SHN,Saint Helena (Ascencion),0.0,97.5562465770759
SHN,Saint Helena (Gough),0.0,0.0
SHN,Saint Helena (Tristan da Cunha),0.0,28.193291518165662
SHN,Saint Helena,520.2780270175895,420.96372792828186
TKL,Tokelau,200.51926740258338,105.04402708115725
TCA,Turks and Caicos Islands,6685.297615428606,5579.746034005407
ASM,American Samoa (USA),8310.827855040507,13371.241083359555
GUM,Guam (USA),47990.331312001275,54045.71763519583
VIR,United States Virgin Islands (USA),13914.210310330933,21339.47888522593
GRL,Greenland,4670.421328423697,7216.50748324213
EGY,Bi'r Tawīl,250.06046407669783,2539.201559186244
xAP,Arunachal Pradesh,328909.05874722335,465174.3459489018
xSK,Senkaku Islands,0.0,95.80787152122048
xRI,Kuril Islands,2883.8070591032165,2606.2368328379844
SDN,Hala'ib Triangle,4300.84030768308,5078.782757322343
SSD,Ilemi Triangle,2416.2829129930988,12776.181759337518
xAB,Abyei,82010.04157885874,41479.24707398613
xAC,Aksai Chin,3409.2652344345097,1881.02766667702
xJK,Jammu and Kashmir,4729864.650872819,7336585.4323409945
xJL,Sovereignty unsettled,23993.03549818256,61273.43312609429
xPI,Paracel Islands,0.0,0.2488056131912505
xSI,Spratly Islands,0.0,0.0
xSR,Scarborough Reef,0.0,0.0
xxx,China/India,705.1986837635437,14302.75295017971
MAC,Macao,25025.82836414546,11325.066574775472
HKG,Hong Kong,617706.2531057037,822699.2882921209
TWN,Taiwan,3265784.9456424993,5001398.556904711
AFG,Afghanistan,2.0949964597909592E7,1.455302383976763E7
AGO,Angola,1.8977399697225075E7,1.2003067271918997E7
ALB,Albania,551768.7408431229,824508.97401834
AND,Andorra,12102.34256439247,14326.760042688413
ARE,United Arab Emirates,1982479.7504695284,1277401.9772410768
ARG,Argentina,1.1976861109575745E7,1.3611220505243551E7
ARM,Armenia,693126.0999622018,793000.6581213708
ATG,Antigua and Barbuda,19942.545562788604,25729.61222447311
AUS,Australia,5513096.502779576,5308813.740068251
AUT,Austria,1563732.4443268836,1705509.5735265615
AZE,Azerbaijan,2742670.552804904,3028312.797867994
BDI,Burundi,7247754.373105142,4757840.715560594
BEL,Belgium,2290242.227738971,2449848.0776249394
BEN,Benin,6912234.749779874,5076444.09608902
BFA,Burkina Faso,1.145946126118672E7,9107932.776417375
BGD,Bangladesh,5.831213880081819E7,6.041885037671196E7
BGR,Bulgaria,1147453.3511657806,1336317.8311888657
BHR,Bahrain,280595.3216969739,207620.67712956257
BHS,Bahamas,74650.84153407183,87640.1191956848
BIH,Bosnia and Herzegovina,516885.48491856945,806807.847875583
BLR,Belarus,1792765.4739955186,2032036.6659013554
BLZ,Belize,134975.73930993798,148490.69449387895
BOL,Bolivia (Plurinational State of),4393093.184311946,4105070.658114084
BRA,Brazil,5.0209397277432464E7,6.2139345805198506E7
BRB,Barbados,46203.52784364179,60824.473678664646
BRN,Brunei Darussalam,109161.42915687515,131096.4988805613
BTN,Bhutan,215152.63358464537,324672.0781217029
BWA,Botswana,943302.9555740803,845603.7459657594
CAF,Central African Republic,2976182.914921819,2253153.762707817
CAN,Canada,7160923.24365215,7518577.906079434
CHE,Switzerland,1612522.0641081997,1656340.6946514389
