iso3,river_flood_gmean,coastal_flood_gmean,storm_gmean,drought_gmean,heatwave_gmean,extreme_heat_gmean,fire_gmean,sand_dust_gmean,air_pollution_gmean,malaria_gmean
RWA,2.10773900447191,1.0,1.0,1.979777717621577,4.3649076462556184,1.0,2.3148721079456815,1.4451859080488285,9.041246550695242,2.8539103728038
ASM,1.0,1.0,6.532929445281852,3.4942867077154744,1.0,,1.0,1.0,1.0,1.0
AGO,3.4361510862465905,2.2023572579463795,1.0,7.320482190664916,4.232160025155411,4.202876793823495,6.7306200954281925,4.055403532901185,9.453921040030641,3.055236220796938
ATA,1.0,1.0,1.0,1.0,,,,1.0,,1.0
BLZ,3.9319855813990223,2.1583312240967905,7.541077197991337,1.0,3.563721126738377,3.9084081941786306,3.3991614422967853,1.2253038689184108,6.771715476165851,2.130914536193068
BEL,3.0285639537722395,4.386300943542548,1.0,5.705903893685363,4.726966518636176,1.0,2.9016327946180174,1.4184172246057358,8.681439465878508,1.0
UMI,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0
BTN,2.44504144452216,1.0,1.0,4.253555720397238,1.8737340109807858,1.0,3.8654842812410974,1.0,7.724292456505423,2.182105605010995
ATF,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0
AZE,3.4833677145633466,1.0,1.0,7.328733074783238,4.873056721021778,4.781858409629292,2.7193835698083726,3.224211149996445,8.296425238425632,1.0
xSI,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0
ZWE,2.294526645113728,1.0,2.355334024976591,7.4506230435591565,4.972841590108222,4.54843193257177,6.2532390985958966,2.4355494163618263,9.139935373083027,3.020155240103348
FRA,3.8003486945416407,2.525002178062356,3.6611751321320414,4.6324012282417755,5.99978422708609,2.051668208003786,2.992247040868415,1.9947872374184088,9.266686363891413,1.0
SGS,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0
IOT,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0
SUR,7.676695212674115,1.1980721514923955,1.0,4.362940366241495,3.8446365034662593,2.8191176355542393,1.6162197555206277,1.0398219783488665,7.70142429620046,2.1791938563832787
MAC,4.599041873859432,3.5341030950541303,7.45567783843753,1.9535703022255086,1.7530550619635508,1.0,,1.0,,1.0
RUS,3.9075645653182645,2.2906812073822,2.6475442206703983,5.372873300414779,5.642621219233403,2.648162780161726,3.446175796788541,2.4810288606348716,9.419886891325598,1.0
xFR,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0
SDN,5.822649171121669,1.0,1.0,6.709324319980703,5.898913878366455,9.502092007592825,3.744692725738861,8.58320120940349,9.406721656845628,9.428026428204392
MMR,5.87613615451292,6.462875538490374,7.886857573514402,6.0442648297840496,4.1275715280222816,8.2324521822293,4.794421578111409,2.4921080456067197,9.33982191342401,8.129420125097246
SOM,5.196195674382372,2.3373214085923695,3.1136917471375085,3.5681105789141263,4.1965640880182065,6.645842435944831,2.7132225433025368,9.666743791878284,8.329257294599206,9.091971330480796
DZA,2.787925290283946,1.0,2.9753595967066775,6.44251750753659,6.560055051627135,7.8879906455099915,4.647407769581257,6.64791143200641,9.263601715318059,1.0
GUM,1.0,1.4032305841658164,7.115063685219532,3.6979209925816643,3.17701046998972,1.0,1.0,1.0,1.0,1.0
CAN,3.354194432864319,2.2119723562753544,3.456231234581229,6.74867471667067,3.492484659957188,1.0,2.8149511090575605,2.091000942830227,8.904437261336945,1.0
GHA,3.0943708951019824,2.1779677120754384,1.0,6.993844355883924,4.265490131191908,7.26737396673902,4.638127663512968,2.25125944426638,8.991203955348437,3.050104607655784
CIV,3.1385281790940067,1.6888729683315598,1.0,6.94856602139823,4.398547176234598,6.370198628650578,3.7733832142883665,1.494431804097247,9.31657871512772,3.0585411034927517
xJK,3.4986112054324257,1.0,1.0,4.096700643160165,4.693460785547417,5.264981221639978,2.6399538339106083,3.0178849635625347,9.103053091469572,3.347425684239074
GRC,2.1376874055250394,1.9776595943707262,1.0,3.451055511241181,4.072423450744156,3.279337265333537,5.11523044500158,1.8776197020123955,8.096682972390285,1.0
SYR,3.506261184246508,1.8160083403284528,1.0,5.932475095359368,6.40247302110983,8.366684584648144,5.034914128937473,6.211331569108478,9.162833792534741,1.0
GUF,5.648466574133966,1.0,1.0,3.651335407769965,3.7450683701151424,2.7659016562156933,2.467041797220033,1.0,6.416194841698618,6.8191298734329635
BFA,2.36440944070917,1.0,1.0,4.42249145221373,3.9118982168254006,9.271324263547479,3.899978574672431,4.065906529397616,9.270833269593247,3.0448849343690276
MYS,5.423845949100824,2.340811406729124,2.202053790064813,6.667311599300749,3.6437717900942266,3.1858506961618,2.943250675056671,1.9018169153963316,8.73404233341281,1.450826185604669
