iso3,P1_geometric_avg,P2_arithmetic_avg,P1_P2_geometric_avg,rank_reverse
ABW,1.545830574745739,,,
AFG,6.249094677344634,6.300075197324026,6.274533160620273,14.0
AGO,5.818486647037839,5.809179904636308,5.813831413666008,21.0
AIA,0.9716094100689969,,,
ALA,0.6256333291851748,,,
ALB,2.793553572909607,1.383876899867969,1.9661979194656316,120.0
AND,1.061633152138488,2.2265882569221462,1.5374719217077177,140.0
ARE,5.2159863888651845,2.5973691074612955,3.680739315974219,67.0
ARG,5.088760861170864,1.4953577356996826,2.758535466427075,97.0
ARM,2.5354990733815645,1.1958568309563482,1.741290868051622,129.0
ASM,,,,
ATA,,,,
ATF,,,,
ATG,1.406039010800927,0.3104984065978239,0.660736613666688,166.0
AUS,4.760109079196921,0.3038634640417882,1.2026733698423444,142.0
AUT,2.0699711897260222,0.4456844773254296,0.9604967610686177,155.0
AZE,3.852270068133442,3.027171322866532,3.414891137192898,71.0
BDI,2.461119562984674,6.028796299384885,3.851959048914557,63.0
BEL,3.1793007521297767,0.1797479787291399,0.7559582556618232,164.0
BEN,5.1162610451930535,6.663478137398879,5.838843517431121,20.0
BES,1.4714891812843742,,,
BFA,4.713168021761841,6.524084423571511,5.545187650348319,26.0
BGD,9.377279456526459,3.52097249650942,5.746054564638442,23.0
BGR,2.0357973353335375,1.3661024240183397,1.6676653366156569,132.0
BHR,2.3800806716207594,2.2929282849191,2.3360980914370417,107.0
BHS,2.457274476841734,2.945745498363655,2.690447031431904,100.0
BIH,1.9134732726679275,2.432236127338011,2.1573175062825594,112.0
BLM,,,,
BLR,2.2571392219568684,0.16452198699023,0.6093841398921471,169.0
BLZ,3.9794171679286165,2.786236252268043,3.329804255036188,74.0
BMU,,,,
BOL,5.651449713528422,2.599084727365806,3.832570500164692,64.0
BRA,5.958733117215133,1.37731135137174,2.8647915740710914,93.0
BRB,1.1456366565049345,2.28659572405312,1.6185202749505239,136.0
BRN,1.7092025053131228,0.6788613967972278,1.0771776085701903,148.0
BTN,2.1067589036575125,3.148937201449407,2.575665251296736,102.0
BVT,,,,
BWA,4.174776954803738,3.4752531763967203,3.8089902695720452,66.0
CAF,4.730816280322952,8.565460462829847,6.365659416537116,11.0
CAN,3.6722816221774934,0.282030841354949,1.017691837439245,151.0
CCK,,,,
CHE,2.401390262118264,0.1127819442644137,0.5204166243988994,172.0
CHL,3.2513301963331376,0.8825348150234278,1.693933910698507,131.0
CHN,8.2769249333111,1.8741341099627988,3.938536193071609,61.0
CIV,4.69702967376334,5.718231021369836,5.1825380644863275,31.0
CMR,5.296101617401367,5.312275258823896,5.304182273583679,29.0
