iso3,health,nutrition,wash,education,protection,poverty,survival
AFG,4.876418175804185,8.02050707197257,4.354238569921681,6.933661766433941,4.6986128625472885,9.96,5.486271168725913
ALB,0.0431034482758621,2.0262437769938346,0.4184657648264727,0.3982181109792227,1.9344262295081966,4.0623652723677734,0.8056779698608989
DZA,0.380922847928554,2.06621937951271,1.440242374327969,2.034312067322557,0.5037831021437578,2.7699999999999996,2.0869758737200437
AND,0.0,,8.881784197001252e-16,,,8.78,0.11649121474390867
AGO,6.091036825711845,7.0835613728528575,5.698442893070521,4.84689976141565,4.752837326607818,8.496542566204251,6.349074018805424
ARG,2.002890101711734,1.9795918367346939,0.36339449679992253,2.758128103458296,1.3986969314838167,1.2200000000000006,0.8338378690170594
ARM,0.22241379310344822,1.596848109195213,0.43273722131203307,0.9549514647141463,0.831862126944094,3.483745196534837,0.8740066748625521
TCA,0.011111111111111072,1.8642313144967195,0.48867029736751216,0.054700877432930284,2.563682219419924,,0.42435221481428315
AUS,0.620689655172414,0.4285714285714286,0.0023604382517117273,0.6382778569271684,,0.0,0.22686286738672468
AUT,0.767898784420739,,0.0015562690896731013,1.2598979347630528,,0.0,0.17216981313119706
AZE,3.6758620689655173,1.165342388974976,0.2975452513395436,3.6365023161235577,1.7551492223623368,8.97,1.737464866285583
BHS,0.45977011494252906,,0.4328296685309265,,,9.87,1.1420798034704363
BHR,0.1816091954022987,0.7346938775510203,0.004151257992271932,2.8595472636975683,,9.24,0.7270349812196311
BGD,1.09933846026627,4.082770103194751,2.2458510264632214,3.718266428131464,5.065994115174442,5.55,2.9549276603713577
BRB,0.4965517241379314,0.9795918367346939,0.5146979557177858,,,8.69,0.8735291486291177
FRA,0.11494252873563227,,0.07561316701045051,0.3828149092824832,,0.0,0.2934091537399468
BLR,0.0,0.010204081632653073,0.02244942147102602,0.05708085537494956,0.7826817990752416,,0.10268673986978166
BEL,0.05747126436781613,0.326530612244898,0.02865719887941065,0.5817899202045632,0.01639344262295082,0.0,0.22048127284684127
BLZ,1.017045673805784,1.7945830997988856,1.1879873352852375,2.963260259272995,5.491803278688524,5.806227592576739,1.147042294198974
BTN,1.384892086330935,5.448237776532261,0.7028918594070989,,,9.6,2.194240161804498
VEN,4.135632183908046,2.183673469387755,0.6078767852159732,,,,2.3159059090021246
BOL,3.679136001543593,1.6036892947809172,3.932704747459995,1.2386709965108127,3.230138713745271,3.7199999999999998,2.1988639959092096
BIH,1.558620689655173,1.4081632653061225,0.4694842321261614,,,8.54,0.4679685518440964
BWA,1.0650063856960408,4.081632653061225,2.195000570386316,0.7586048970864154,,9.77,3.8691935170834304
BRA,0.8689655172413803,1.3877056476871847,0.4238363586710987,2.115481003009212,0.28205128205128205,3.4099999999999993,1.3200898106878585
