system:index,adm0_name,child_population_exposed,child_population_total,iso3,label,metric,population_total,ucode,.geo
13,Antarctica,0.0,0.0,ATA,air_pollution_pm25_1998-2023,individual,0.0,ATA_V14,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,Tokelau,242.60301940105128,627.8673086456943,TKL,air_pollution_pm25_1998-2023,individual,2014.402919239989,TKL_V2,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,Western Sahara,128062.46238921984,148932.15286032428,ESH,air_pollution_pm25_1998-2023,individual,565209.8879479027,ESH_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,New Caledonia,54112.73028796818,73125.82198797836,NCL,air_pollution_pm25_1998-2023,individual,286214.63240109663,NCL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,Clipperton Island,0.0,0.0,PYF,air_pollution_pm25_1998-2023,individual,0.0,PYF1_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,Saint Helena (Tristan da Cunha),0.0,0.0,SHN,air_pollution_pm25_1998-2023,individual,0.0,SHN2_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,Saint Helena (Ascencion),0.0,0.0,SHN,air_pollution_pm25_1998-2023,individual,0.0,SHN1_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,Gibraltar,,6320.710476004482,GIB,air_pollution_pm25_1998-2023,individual,32201.5256533018,GIB_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,Saint Helena (Gough),0.0,0.0,SHN,air_pollution_pm25_1998-2023,individual,0.0,SHN3_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,Saint Helena,0.0,854.5941989731934,SHN,air_pollution_pm25_1998-2023,individual,5199.487445189212,SHN_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,American Samoa (USA),0.0,15601.739678215456,ASM,air_pollution_pm25_1998-2023,individual,46000.704591681664,ASM_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,Guam (USA),0.0,50804.76540056684,GUM,air_pollution_pm25_1998-2023,individual,168195.3960321047,GUM_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,Bi'r Tawīl,250.06046407669783,250.06046407669783,EGY,air_pollution_pm25_1998-2023,individual,293.79977034032345,EGY1_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,Greenland,0.0,6348.697077057339,GRL,air_pollution_pm25_1998-2023,individual,24878.69900580517,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,Arunachal Pradesh,316064.96065364964,316064.96065364964,xAP,air_pollution_pm25_1998-2023,individual,980113.5056940456,xAP_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,Senkaku Islands,,0.0,xSK,air_pollution_pm25_1998-2023,individual,0.0,xSK_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,Kuril Islands,1017.6343673731532,3437.7050287807774,xRI,air_pollution_pm25_1998-2023,individual,16865.05092428459,xRI_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,Hala'ib Triangle,1139.6277634387727,4875.057169295198,SDN,air_pollution_pm25_1998-2023,individual,11277.084853108128,SDN1_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,Ilemi Triangle,2455.25929632516,2455.25929632516,SSD,air_pollution_pm25_1998-2023,individual,10208.10353761562,SSD1_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,Abyei,81783.25820501274,81783.25820501274,xAB,air_pollution_pm25_1998-2023,individual,119720.69199162384,xAB_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,Aksai Chin,3357.403364180014,3438.9182873868767,xAC,air_pollution_pm25_1998-2023,individual,11530.730537227571,xAC_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,Jammu and Kashmir,4724539.936083851,4724933.949900465,xJK,air_pollution_pm25_1998-2023,individual,20485747.790387876,xJK_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,Sovereignty unsettled,42830.92723886087,42830.92723886087,xJL,air_pollution_pm25_1998-2023,individual,126896.3835437921,xJL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,Paracel Islands,,86.75367717932834,xPI,air_pollution_pm25_1998-2023,individual,718.7841394252488,xPI_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,Spratly Islands,,0.0,xSI,air_pollution_pm25_1998-2023,individual,0.0,xSI_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,Scarborough Reef,,0.0,xSR,air_pollution_pm25_1998-2023,individual,0.0,xSR_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,China/India,732.1397838329129,732.1397838329129,xxx,air_pollution_pm25_1998-2023,individual,1414.4381610215464,xxx_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,Macao,,108699.4944399259,MAC,air_pollution_pm25_1998-2023,individual,675485.4639482741,MAC_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,Taiwan,3166205.953397575,3311341.297345072,TWN,air_pollution_pm25_1998-2023,individual,22951965.13887481,TWN_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,Hong Kong,617466.0366672393,809441.6055902928,HKG,air_pollution_pm25_1998-2023,individual,6183639.753265285,HKG_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,Tuvalu,0.0,1057.7013385510547,TUV,air_pollution_pm25_1998-2023,individual,8651.287734135458,TUV_V2,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,Mauritius,163213.30857945475,241252.58231808024,MUS,air_pollution_pm25_1998-2023,individual,1269509.516548764,MUS_V2,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,Marshall Islands,0.0,14877.643699552302,MHL,air_pollution_pm25_1998-2023,individual,35250.624957678134,MHL_V2,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,Micronesia (Federated States of),0.0,37924.7463813085,FSM,air_pollution_pm25_1998-2023,individual,74632.38108515547,FSM_V2,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,Bahrain,134248.90455068834,351371.9620597632,BHR,air_pollution_pm25_1998-2023,individual,1626144.8635632836,BHR_V2,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,Maldives,2069.461644459628,119246.52362540086,MDV,air_pollution_pm25_1998-2023,individual,517002.4335100376,MDV_V2,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,Samoa,3063.996695359105,96146.131643036,WSM,air_pollution_pm25_1998-2023,individual,217323.9894875148,WSM_V2,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,Palau,0.0,3752.7172539598414,PLW,air_pollution_pm25_1998-2023,individual,16441.508911315985,PLW_V2,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,Tonga,2073.893844823086,43452.358009875,TON,air_pollution_pm25_1998-2023,individual,102129.75091279377,TON_V2,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,Cape Verde,78325.49746639097,164798.9053214864,CPV,air_pollution_pm25_1998-2023,individual,525130.4328958164,CPV_V2,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,Comoros,165282.99947929004,371951.8247332141,COM,air_pollution_pm25_1998-2023,individual,872397.2660198922,COM_V2,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,Singapore,585412.5596203209,870626.4561712565,SGP,air_pollution_pm25_1998-2023,individual,5852233.383573981,SGP_V2,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,Vanuatu,59802.35350788568,142171.90685355084,VUT,air_pollution_pm25_1998-2023,individual,327840.8061051406,VUT_V2,"{""type"":""MultiPoint"",""coordinates"":[]}"
