system:index,adm0_name,child_population_exposed,child_population_total,iso3,label,metric,population_total,ucode,.geo
7,Antarctica,0.0,0.0,ATA,heatwave_duration_ecmwf_2014-2024,individual,0.0,ATA_V8,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,Tokelau,0.0,627.8673086456943,TKL,heatwave_duration_ecmwf_2014-2024,individual,2014.402919239989,TKL_V2,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,Western Sahara,11042.569939239766,148932.15286032428,ESH,heatwave_duration_ecmwf_2014-2024,individual,565209.8879479027,ESH_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,New Caledonia,42752.19040452196,73125.82198797836,NCL,heatwave_duration_ecmwf_2014-2024,individual,286214.63240109663,NCL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,Clipperton Island,0.0,0.0,PYF,heatwave_duration_ecmwf_2014-2024,individual,0.0,PYF1_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,Saint Helena (Tristan da Cunha),0.0,0.0,SHN,heatwave_duration_ecmwf_2014-2024,individual,0.0,SHN2_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,Saint Helena (Ascencion),0.0,0.0,SHN,heatwave_duration_ecmwf_2014-2024,individual,0.0,SHN1_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,Gibraltar,0.0,6320.710476004482,GIB,heatwave_duration_ecmwf_2014-2024,individual,32201.5256533018,GIB_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,Saint Helena (Gough),0.0,0.0,SHN,heatwave_duration_ecmwf_2014-2024,individual,0.0,SHN3_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,Saint Helena,0.0,854.5941989731934,SHN,heatwave_duration_ecmwf_2014-2024,individual,5199.487445189212,SHN_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,American Samoa (USA),0.0,15601.739678215456,ASM,heatwave_duration_ecmwf_2014-2024,individual,46000.704591681664,ASM_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,Guam (USA),31831.043598150107,50804.76540056684,GUM,heatwave_duration_ecmwf_2014-2024,individual,168195.3960321047,GUM_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,Bi'r Tawīl,250.06046407669783,250.06046407669783,EGY,heatwave_duration_ecmwf_2014-2024,individual,293.79977034032345,EGY1_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,Greenland,4646.531505414365,6348.697077057339,GRL,heatwave_duration_ecmwf_2014-2024,individual,24878.69900580517,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,Arunachal Pradesh,147381.83577970124,316064.96065364964,xAP,heatwave_duration_ecmwf_2014-2024,individual,980113.5056940456,xAP_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,Senkaku Islands,0.0,0.0,xSK,heatwave_duration_ecmwf_2014-2024,individual,0.0,xSK_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,Kuril Islands,1738.5107824913362,3437.7050287807774,xRI,heatwave_duration_ecmwf_2014-2024,individual,16865.05092428459,xRI_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,Hala'ib Triangle,4835.96191751255,4875.057169295198,SDN,heatwave_duration_ecmwf_2014-2024,individual,11277.084853108128,SDN1_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,Ilemi Triangle,2455.25929632516,2455.25929632516,SSD,heatwave_duration_ecmwf_2014-2024,individual,10208.10353761562,SSD1_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,Abyei,81783.25820501274,81783.25820501274,xAB,heatwave_duration_ecmwf_2014-2024,individual,119720.69199162384,xAB_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,Aksai Chin,2068.5425596737687,3438.9182873868767,xAC,heatwave_duration_ecmwf_2014-2024,individual,11530.730537227571,xAC_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,Jammu and Kashmir,2185792.1764983125,4724933.949900465,xJK,heatwave_duration_ecmwf_2014-2024,individual,20485747.790387876,xJK_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,Sovereignty unsettled,42830.92723886087,42830.92723886087,xJL,heatwave_duration_ecmwf_2014-2024,individual,126896.3835437921,xJL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,Paracel Islands,0.0,86.75367717932834,xPI,heatwave_duration_ecmwf_2014-2024,individual,718.7841394252488,xPI_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,Spratly Islands,0.0,0.0,xSI,heatwave_duration_ecmwf_2014-2024,individual,0.0,xSI_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,Scarborough Reef,0.0,0.0,xSR,heatwave_duration_ecmwf_2014-2024,individual,0.0,xSR_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,China/India,584.7555997853333,732.1397838329129,xxx,heatwave_duration_ecmwf_2014-2024,individual,1414.4381610215464,xxx_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,Macao,0.0,108699.4944399259,MAC,heatwave_duration_ecmwf_2014-2024,individual,675485.4639482741,MAC_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,Taiwan,2384436.126486868,3311341.297345072,TWN,heatwave_duration_ecmwf_2014-2024,individual,22951965.13887481,TWN_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,Hong Kong,185275.98306835728,809441.6055902928,HKG,heatwave_duration_ecmwf_2014-2024,individual,6183639.753265285,HKG_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,Tuvalu,0.0,1057.7013385510547,TUV,heatwave_duration_ecmwf_2014-2024,individual,8651.287734135458,TUV_V2,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,Mauritius,0.0,241252.58231808024,MUS,heatwave_duration_ecmwf_2014-2024,individual,1269509.516548764,MUS_V2,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,Marshall Islands,0.0,14877.643699552302,MHL,heatwave_duration_ecmwf_2014-2024,individual,35250.624957678134,MHL_V2,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,Micronesia (Federated States of),0.0,37924.7463813085,FSM,heatwave_duration_ecmwf_2014-2024,individual,74632.38108515547,FSM_V2,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,Bahrain,0.0,351371.9620597632,BHR,heatwave_duration_ecmwf_2014-2024,individual,1626144.8635632836,BHR_V2,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,Maldives,0.0,119246.52362540086,MDV,heatwave_duration_ecmwf_2014-2024,individual,517002.4335100376,MDV_V2,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,Samoa,0.0,96146.131643036,WSM,heatwave_duration_ecmwf_2014-2024,individual,217323.9894875148,WSM_V2,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,Palau,0.0,3752.7172539598414,PLW,heatwave_duration_ecmwf_2014-2024,individual,16441.508911315985,PLW_V2,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,Tonga,0.0,43452.358009875,TON,heatwave_duration_ecmwf_2014-2024,individual,102129.75091279377,TON_V2,"{""type"":""MultiPoint"",""coordinates"":[]}"
