system:index,adm0_name,child_population_exposed,child_population_total,iso3,label,metric,population_total,ucode,.geo
12,Antarctica,0.0,0.0,ATA,sand_dust_storm_unccd_2024,individual,0.0,ATA_V13,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Tokelau,0.0,627.8673086456943,TKL,sand_dust_storm_unccd_2024,individual,2014.402919239989,TKL_V2,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Western Sahara,139206.16886634784,148932.15286032428,ESH,sand_dust_storm_unccd_2024,individual,565209.8879479027,ESH_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,New Caledonia,41.91500798828315,73125.82198797836,NCL,sand_dust_storm_unccd_2024,individual,286214.63240109663,NCL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Clipperton Island,0.0,0.0,PYF,sand_dust_storm_unccd_2024,individual,0.0,PYF1_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Saint Helena (Tristan da Cunha),0.0,0.0,SHN,sand_dust_storm_unccd_2024,individual,0.0,SHN2_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Saint Helena (Ascencion),0.0,0.0,SHN,sand_dust_storm_unccd_2024,individual,0.0,SHN1_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Gibraltar,520.6989986295794,6320.710476004482,GIB,sand_dust_storm_unccd_2024,individual,32201.5256533018,GIB_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Saint Helena (Gough),0.0,0.0,SHN,sand_dust_storm_unccd_2024,individual,0.0,SHN3_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Saint Helena,239.28462682237904,854.5941989731934,SHN,sand_dust_storm_unccd_2024,individual,5199.487445189212,SHN_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,American Samoa (USA),0.0,15601.739678215456,ASM,sand_dust_storm_unccd_2024,individual,46000.704591681664,ASM_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Guam (USA),0.0,50804.76540056684,GUM,sand_dust_storm_unccd_2024,individual,168195.3960321047,GUM_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Bi'r Tawīl,250.06046407669783,250.06046407669783,EGY,sand_dust_storm_unccd_2024,individual,293.79977034032345,EGY1_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Greenland,0.0,6348.697077057339,GRL,sand_dust_storm_unccd_2024,individual,24878.69900580517,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Arunachal Pradesh,1135.9806476376366,316064.96065364964,xAP,sand_dust_storm_unccd_2024,individual,980113.5056940456,xAP_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Senkaku Islands,0.0,0.0,xSK,sand_dust_storm_unccd_2024,individual,0.0,xSK_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Kuril Islands,0.0,3437.7050287807774,xRI,sand_dust_storm_unccd_2024,individual,16865.05092428459,xRI_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Hala'ib Triangle,4462.466492018652,4875.057169295198,SDN,sand_dust_storm_unccd_2024,individual,11277.084853108128,SDN1_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Ilemi Triangle,2303.233920217616,2455.25929632516,SSD,sand_dust_storm_unccd_2024,individual,10208.10353761562,SSD1_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Abyei,0.0,81783.25820501274,xAB,sand_dust_storm_unccd_2024,individual,119720.69199162384,xAB_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Aksai Chin,1364.1801957918294,3438.9182873868767,xAC,sand_dust_storm_unccd_2024,individual,11530.730537227571,xAC_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Jammu and Kashmir,94232.279009116,4724933.949900465,xJK,sand_dust_storm_unccd_2024,individual,20485747.790387876,xJK_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Sovereignty unsettled,57.83654395961293,42830.92723886087,xJL,sand_dust_storm_unccd_2024,individual,126896.3835437921,xJL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Paracel Islands,0.0,86.75367717932834,xPI,sand_dust_storm_unccd_2024,individual,718.7841394252488,xPI_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Spratly Islands,0.0,0.0,xSI,sand_dust_storm_unccd_2024,individual,0.0,xSI_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Scarborough Reef,0.0,0.0,xSR,sand_dust_storm_unccd_2024,individual,0.0,xSR_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,China/India,635.7738180179806,732.1397838329129,xxx,sand_dust_storm_unccd_2024,individual,1414.4381610215464,xxx_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Macao,0.0,108699.4944399259,MAC,sand_dust_storm_unccd_2024,individual,675485.4639482741,MAC_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Taiwan,3276.172346348316,3311341.297345072,TWN,sand_dust_storm_unccd_2024,individual,22951965.13887481,TWN_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Hong Kong,11932.510950693562,809441.6055902928,HKG,sand_dust_storm_unccd_2024,individual,6183639.753265285,HKG_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Tuvalu,0.0,1057.7013385510547,TUV,sand_dust_storm_unccd_2024,individual,8651.287734135458,TUV_V2,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Mauritius,0.0,241252.58231808024,MUS,sand_dust_storm_unccd_2024,individual,1269509.516548764,MUS_V2,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Marshall Islands,0.0,14877.643699552302,MHL,sand_dust_storm_unccd_2024,individual,35250.624957678134,MHL_V2,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Micronesia (Federated States of),0.0,37924.7463813085,FSM,sand_dust_storm_unccd_2024,individual,74632.38108515547,FSM_V2,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Bahrain,27825.479993735964,351371.9620597632,BHR,sand_dust_storm_unccd_2024,individual,1626144.8635632836,BHR_V2,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Maldives,18256.884154304687,119246.52362540086,MDV,sand_dust_storm_unccd_2024,individual,517002.4335100376,MDV_V2,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Samoa,0.0,96146.131643036,WSM,sand_dust_storm_unccd_2024,individual,217323.9894875148,WSM_V2,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Palau,0.0,3752.7172539598414,PLW,sand_dust_storm_unccd_2024,individual,16441.508911315985,PLW_V2,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Tonga,0.0,43452.358009875,TON,sand_dust_storm_unccd_2024,individual,102129.75091279377,TON_V2,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Cape Verde,75125.64308486109,164798.9053214864,CPV,sand_dust_storm_unccd_2024,individual,525130.4328958164,CPV_V2,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Comoros,0.0,371951.8247332141,COM,sand_dust_storm_unccd_2024,individual,872397.2660198922,COM_V2,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Singapore,0.0,870626.4561712565,SGP,sand_dust_storm_unccd_2024,individual,5852233.383573981,SGP_V2,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Vanuatu,0.0,142171.90685355084,VUT,sand_dust_storm_unccd_2024,individual,327840.8061051406,VUT_V2,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Solomon Islands,0.0,347162.08529207605,SLB,sand_dust_storm_unccd_2024,individual,818142.7822183083,SLB_V2,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Kiribati,3291.8819743944164,46430.28375483491,KIR,sand_dust_storm_unccd_2024,individual,118671.2676777603,KIR_V2,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Sao Tome and Principe,0.0,104882.62632270124,STP,sand_dust_storm_unccd_2024,individual,236806.29607787565,STP_V2,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Nauru,0.0,5079.383797263859,NRU,sand_dust_storm_unccd_2024,individual,11729.090146657814,NRU_V2,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Seychelles,32.445000385419995,30313.03863939044,SYC,sand_dust_storm_unccd_2024,individual,130170.5676033317,SYC_V2,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Afghanistan,10305001.436701871,20939928.25864015,AFG,sand_dust_storm_unccd_2024,individual,43192547.64397973,AFG_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Angola,1171083.3100754109,18709823.373819336,AGO,sand_dust_storm_unccd_2024,individual,37701255.67895002,AGO_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Albania,685.8213337854384,574037.9040700688,ALB,sand_dust_storm_unccd_2024,individual,2778355.4368711337,ALB_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Andorra,0.0,12304.974294129464,AND,sand_dust_storm_unccd_2024,individual,82330.82880662101,AND_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,United Arab Emirates,1612916.8560717292,2031448.605568984,ARE,sand_dust_storm_unccd_2024,individual,11153569.119385894,ARE_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Armenia,6587.659263646754,692305.787131617,ARM,sand_dust_storm_unccd_2024,individual,2963678.486713675,ARM_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Australia,40169.38851949449,5528345.950146385,AUS,sand_dust_storm_unccd_2024,individual,25724882.089805983,AUS_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
