system:index,adm0_name,child_population_exposed,child_population_total,iso3,label,metric,population_total,ucode,.geo
2,Antarctica,0.0,0.0,ATA,tropical_storm_100yr_giri_2024,individual,0.0,ATA_V3,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,Tokelau,627.8673086456943,627.8673086456943,TKL,tropical_storm_100yr_giri_2024,individual,2014.402919239989,TKL_V2,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,Western Sahara,138075.7258413452,148932.15286032428,ESH,tropical_storm_100yr_giri_2024,individual,565209.8879479027,ESH_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,New Caledonia,73125.82198797836,73125.82198797836,NCL,tropical_storm_100yr_giri_2024,individual,286214.63240109663,NCL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,Clipperton Island,0.0,0.0,PYF,tropical_storm_100yr_giri_2024,individual,0.0,PYF1_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,Saint Helena (Tristan da Cunha),,0.0,SHN,tropical_storm_100yr_giri_2024,individual,0.0,SHN2_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,Saint Helena (Ascencion),,0.0,SHN,tropical_storm_100yr_giri_2024,individual,0.0,SHN1_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,Gibraltar,6320.710476004482,6320.710476004482,GIB,tropical_storm_100yr_giri_2024,individual,32201.5256533018,GIB_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,Saint Helena (Gough),,0.0,SHN,tropical_storm_100yr_giri_2024,individual,0.0,SHN3_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,Saint Helena,,854.5941989731934,SHN,tropical_storm_100yr_giri_2024,individual,5199.487445189212,SHN_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,American Samoa (USA),15601.739678215456,15601.739678215456,ASM,tropical_storm_100yr_giri_2024,individual,46000.704591681664,ASM_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,Guam (USA),50804.76540056684,50804.76540056684,GUM,tropical_storm_100yr_giri_2024,individual,168195.3960321047,GUM_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,Bi'r Tawīl,0.0,250.06046407669783,EGY,tropical_storm_100yr_giri_2024,individual,293.79977034032345,EGY1_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,Greenland,0.0,6348.697077057339,GRL,tropical_storm_100yr_giri_2024,individual,24878.69900580517,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
