iso3,time_period,obs_value,data_source
BRA,2024,99.99999873230279,WHO/UNICEF Joint Monitoring Programme ()
ISR,2024,99.99999930817874,WHO/UNICEF Joint Monitoring Programme ()
PAK,2024,90.6932992273275,WHO/UNICEF Joint Monitoring Programme ()
CMR,2024,71.41017871128295,WHO/UNICEF Joint Monitoring Programme ()
UGA,2024,63.00580157219711,WHO/UNICEF Joint Monitoring Programme ()
BFA,2024,49.99866001074966,WHO/UNICEF Joint Monitoring Programme ()
HND,2024,95.72937165516663,WHO/UNICEF Joint Monitoring Programme ()
USA,2024,99.98044434658121,WHO/UNICEF Joint Monitoring Programme ()
CYP,2024,99.72110882999843,WHO/UNICEF Joint Monitoring Programme ()
NCL,2024,99.53867298816954,WHO/UNICEF Joint Monitoring Programme ()
MNG,2024,86.09265532444205,WHO/UNICEF Joint Monitoring Programme ()
KOR,2024,100.0,WHO/UNICEF Joint Monitoring Programme ()
SOM,2024,75.29479645713772,WHO/UNICEF Joint Monitoring Programme ()
ESP,2024,99.92470013967089,WHO/UNICEF Joint Monitoring Programme ()
ZAF,2024,90.19168013647388,WHO/UNICEF Joint Monitoring Programme ()
AZE,2024,97.68808416653387,WHO/UNICEF Joint Monitoring Programme ()
SYC,2024,97.72732902154235,WHO/UNICEF Joint Monitoring Programme ()
DNK,2024,99.99999978761188,WHO/UNICEF Joint Monitoring Programme ()
RUS,2024,96.90026160746424,WHO/UNICEF Joint Monitoring Programme ()
MCO,2024,100.0,WHO/UNICEF Joint Monitoring Programme ()
KAZ,2024,97.83365282466849,WHO/UNICEF Joint Monitoring Programme ()
TTO,2024,99.25030774950395,WHO/UNICEF Joint Monitoring Programme ()
GMB,2024,87.10348003761483,WHO/UNICEF Joint Monitoring Programme ()
AND,2024,100.0,WHO/UNICEF Joint Monitoring Programme ()
PNG,2024,53.29848486861902,WHO/UNICEF Joint Monitoring Programme ()
FLK,2020,95.30892872890583,WHO/UNICEF Joint Monitoring Programme ()
NOR,2024,100.0,WHO/UNICEF Joint Monitoring Programme ()
LBY,2024,96.3545440861619,WHO/UNICEF Joint Monitoring Programme ()
MDA,2024,92.70791627579457,WHO/UNICEF Joint Monitoring Programme ()
YEM,2024,75.03576209604573,WHO/UNICEF Joint Monitoring Programme ()
SXM,2017,99.31117932975185,WHO/UNICEF Joint Monitoring Programme ()
DOM,2024,97.45712998831819,WHO/UNICEF Joint Monitoring Programme ()
RWA,2024,61.39217602116697,WHO/UNICEF Joint Monitoring Programme ()
FRA,2024,99.99999747599611,WHO/UNICEF Joint Monitoring Programme ()
TON,2024,98.85834666026234,WHO/UNICEF Joint Monitoring Programme ()
KEN,2024,65.5965968528709,WHO/UNICEF Joint Monitoring Programme ()
CAN,2024,98.29026086242594,WHO/UNICEF Joint Monitoring Programme ()
URY,2024,99.63269138798363,WHO/UNICEF Joint Monitoring Programme ()
GNB,2024,61.80770301716677,WHO/UNICEF Joint Monitoring Programme ()
POL,2024,90.12446331046299,WHO/UNICEF Joint Monitoring Programme ()
BLM,2024,100.0,WHO/UNICEF Joint Monitoring Programme ()
NPL,2024,93.64012468421166,WHO/UNICEF Joint Monitoring Programme ()
LCA,2024,98.09568165760685,WHO/UNICEF Joint Monitoring Programme ()
MUS,2024,99.92654582631337,WHO/UNICEF Joint Monitoring Programme ()
SGP,2024,100.0,WHO/UNICEF Joint Monitoring Programme ()
GEO,2024,97.29001665958141,WHO/UNICEF Joint Monitoring Programme ()
BRB,2024,99.16263474508142,WHO/UNICEF Joint Monitoring Programme ()
VIR,2024,99.46568029676854,WHO/UNICEF Joint Monitoring Programme ()
GTM,2024,93.1845373918033,WHO/UNICEF Joint Monitoring Programme ()
SUR,2024,97.99784938932753,WHO/UNICEF Joint Monitoring Programme ()
LUX,2024,100.0,WHO/UNICEF Joint Monitoring Programme ()
THA,2024,100.0,WHO/UNICEF Joint Monitoring Programme ()
BGD,2024,98.78254219347414,WHO/UNICEF Joint Monitoring Programme ()
IND,2024,95.72473735239176,WHO/UNICEF Joint Monitoring Programme ()
MKD,2024,98.18733140461732,WHO/UNICEF Joint Monitoring Programme ()
CPV,2024,92.28008926619124,WHO/UNICEF Joint Monitoring Programme ()
PSE,2024,98.77170739842614,WHO/UNICEF Joint Monitoring Programme ()
MWI,2024,73.0535741738591,WHO/UNICEF Joint Monitoring Programme ()
BDI,2024,65.91910418475531,WHO/UNICEF Joint Monitoring Programme ()
GHA,2024,89.92201168727546,WHO/UNICEF Joint Monitoring Programme ()
ZMB,2024,73.4120376414689,WHO/UNICEF Joint Monitoring Programme ()
GUF,2024,94.84011201401117,WHO/UNICEF Joint Monitoring Programme ()
TUN,2024,96.73278732880144,WHO/UNICEF Joint Monitoring Programme ()
ARE,2024,100.0,WHO/UNICEF Joint Monitoring Programme ()
LVA,2024,98.77260327773081,WHO/UNICEF Joint Monitoring Programme ()
CRI,2024,99.81541234062482,WHO/UNICEF Joint Monitoring Programme ()
IRL,2024,97.09803370070131,WHO/UNICEF Joint Monitoring Programme ()
PYF,2024,100.0,WHO/UNICEF Joint Monitoring Programme ()
MLI,2024,86.36335678154434,WHO/UNICEF Joint Monitoring Programme ()
SLB,2024,71.60903184522935,WHO/UNICEF Joint Monitoring Programme ()
ITA,2024,99.9170340740928,WHO/UNICEF Joint Monitoring Programme ()
VUT,2024,87.12006059213269,WHO/UNICEF Joint Monitoring Programme ()
ABW,2016,96.7397757541097,WHO/UNICEF Joint Monitoring Programme ()
COD,2024,35.68136119522541,WHO/UNICEF Joint Monitoring Programme ()
KWT,2024,100.0,WHO/UNICEF Joint Monitoring Programme ()
HRV,2024,99.90318120448302,WHO/UNICEF Joint Monitoring Programme ()
WLF,2024,99.28391784056457,WHO/UNICEF Joint Monitoring Programme ()
SVN,2024,99.57459420100516,WHO/UNICEF Joint Monitoring Programme ()
CZE,2024,98.73414835221064,WHO/UNICEF Joint Monitoring Programme ()
PAN,2024,95.26282388157047,WHO/UNICEF Joint Monitoring Programme ()
CHE,2024,99.99999678199973,WHO/UNICEF Joint Monitoring Programme ()
NER,2024,53.42746562861762,WHO/UNICEF Joint Monitoring Programme ()
TKL,2024,100.0,WHO/UNICEF Joint Monitoring Programme ()
MNP,2024,100.0,WHO/UNICEF Joint Monitoring Programme ()
BLR,2024,99.89249204296117,WHO/UNICEF Joint Monitoring Programme ()
EST,2024,99.99999702124411,WHO/UNICEF Joint Monitoring Programme ()
SHN,2024,99.29098287658802,WHO/UNICEF Joint Monitoring Programme ()
COG,2021,73.48842116734137,WHO/UNICEF Joint Monitoring Programme ()
VNM,2024,98.76124665369399,WHO/UNICEF Joint Monitoring Programme ()
QAT,2024,99.98897214173121,WHO/UNICEF Joint Monitoring Programme ()
LAO,2024,95.86357949683982,WHO/UNICEF Joint Monitoring Programme ()
BRN,2024,100.0,WHO/UNICEF Joint Monitoring Programme ()
JAM,2024,87.55626213477323,WHO/UNICEF Joint Monitoring Programme ()
SVK,2024,99.78607174735626,WHO/UNICEF Joint Monitoring Programme ()
HTI,2024,73.3157500565915,WHO/UNICEF Joint Monitoring Programme ()
MAC,2024,100.0,WHO/UNICEF Joint Monitoring Programme ()
PER,2024,95.63708238263834,WHO/UNICEF Joint Monitoring Programme ()
DEU,2024,100.0,WHO/UNICEF Joint Monitoring Programme ()
TJK,2024,89.19147499655888,WHO/UNICEF Joint Monitoring Programme ()
NGA,2024,82.2488935172216,WHO/UNICEF Joint Monitoring Programme ()
ETH,2024,55.59606961594927,WHO/UNICEF Joint Monitoring Programme ()
BGR,2024,99.18525157134574,WHO/UNICEF Joint Monitoring Programme ()
UKR,2024,93.47909225975393,WHO/UNICEF Joint Monitoring Programme ()
MDG,2024,55.33896083212555,WHO/UNICEF Joint Monitoring Programme ()
DZA,2024,92.42002859339864,WHO/UNICEF Joint Monitoring Programme ()
MOZ,2024,66.6252441342671,WHO/UNICEF Joint Monitoring Programme ()
FRO,2024,100.0,WHO/UNICEF Joint Monitoring Programme ()
SAU,2024,99.0407817713525,WHO/UNICEF Joint Monitoring Programme ()
BEL,2024,100.0,WHO/UNICEF Joint Monitoring Programme ()
KGZ,2024,94.94305916048711,WHO/UNICEF Joint Monitoring Programme ()
UZB,2024,97.29048697560333,WHO/UNICEF Joint Monitoring Programme ()
ARG,2016,99.04137384583831,WHO/UNICEF Joint Monitoring Programme ()
PRI,2024,100.0,WHO/UNICEF Joint Monitoring Programme ()
SPM,2024,98.1714973709527,WHO/UNICEF Joint Monitoring Programme ()
NRU,2024,97.84296189888973,WHO/UNICEF Joint Monitoring Programme ()
SYR,2024,94.12599415800261,WHO/UNICEF Joint Monitoring Programme ()
LIE,2024,100.0,WHO/UNICEF Joint Monitoring Programme ()
GNQ,2017,64.66581288791777,WHO/UNICEF Joint Monitoring Programme ()
ECU,2024,92.07087096975543,WHO/UNICEF Joint Monitoring Programme ()
SWE,2024,99.7607966673045,WHO/UNICEF Joint Monitoring Programme ()
MDV,2024,99.75847829984023,WHO/UNICEF Joint Monitoring Programme ()
WSM,2024,99.44092903449848,WHO/UNICEF Joint Monitoring Programme ()
MRT,2024,77.28464913753876,WHO/UNICEF Joint Monitoring Programme ()
FSM,2020,89.88195415133151,WHO/UNICEF Joint Monitoring Programme ()
AFG,2024,80.83243744938515,WHO/UNICEF Joint Monitoring Programme ()
CHL,2024,99.08116121509686,WHO/UNICEF Joint Monitoring Programme ()
PRK,2023,93.9109177513255,WHO/UNICEF Joint Monitoring Programme ()
HUN,2024,100.0,WHO/UNICEF Joint Monitoring Programme ()
TKM,2024,99.92195525802119,WHO/UNICEF Joint Monitoring Programme ()
LKA,2024,90.21384402603945,WHO/UNICEF Joint Monitoring Programme ()
AGO,2024,67.9607422242112,WHO/UNICEF Joint Monitoring Programme ()
GRC,2024,100.0,WHO/UNICEF Joint Monitoring Programme ()
