iso3,time_period,obs_value,data_source
LAO,2024,88.73141316055991,WHO/UNICEF Joint Monitoring Programme ()
QAT,2024,99.93654508378802,WHO/UNICEF Joint Monitoring Programme ()
DEU,2024,99.22695289177767,WHO/UNICEF Joint Monitoring Programme ()
MAC,2024,100.0,WHO/UNICEF Joint Monitoring Programme ()
ARG,2016,94.82095572045486,WHO/UNICEF Joint Monitoring Programme ()
JAM,2024,91.62646002888178,WHO/UNICEF Joint Monitoring Programme ()
BRN,2024,100.0,WHO/UNICEF Joint Monitoring Programme ()
SRB,2024,97.94229835066133,WHO/UNICEF Joint Monitoring Programme ()
BGR,2024,86.07656070633546,WHO/UNICEF Joint Monitoring Programme ()
TCA,2024,93.15259979915336,WHO/UNICEF Joint Monitoring Programme ()
PER,2024,78.77320365743654,WHO/UNICEF Joint Monitoring Programme ()
ETH,2024,10.35771883567336,WHO/UNICEF Joint Monitoring Programme ()
VCT,2018,89.70106298191021,WHO/UNICEF Joint Monitoring Programme ()
GIB,2024,100.0,WHO/UNICEF Joint Monitoring Programme ()
NGA,2024,47.90193706191357,WHO/UNICEF Joint Monitoring Programme ()
BLZ,2024,84.30176581715912,WHO/UNICEF Joint Monitoring Programme ()
FRO,2015,90.88347571813543,WHO/UNICEF Joint Monitoring Programme ()
MDG,2024,15.36714699677537,WHO/UNICEF Joint Monitoring Programme ()
TUR,2024,99.27770167625494,WHO/UNICEF Joint Monitoring Programme ()
BEL,2024,99.486220664134,WHO/UNICEF Joint Monitoring Programme ()
AFG,2024,54.49579936460862,WHO/UNICEF Joint Monitoring Programme ()
MOZ,2024,38.5900804802051,WHO/UNICEF Joint Monitoring Programme ()
SAU,2024,97.60749836192994,WHO/UNICEF Joint Monitoring Programme ()
SLE,2024,24.91363624180864,WHO/UNICEF Joint Monitoring Programme ()
HTI,2024,29.10811894431139,WHO/UNICEF Joint Monitoring Programme ()
LIE,2024,99.95,WHO/UNICEF Joint Monitoring Programme ()
GNQ,2017,66.31278666715615,WHO/UNICEF Joint Monitoring Programme ()
PRI,2024,100.0,WHO/UNICEF Joint Monitoring Programme ()
COG,2021,20.55480995949171,WHO/UNICEF Joint Monitoring Programme ()
ZWE,2024,34.64149853244766,WHO/UNICEF Joint Monitoring Programme ()
TUN,2024,98.53734092548927,WHO/UNICEF Joint Monitoring Programme ()
FSM,2020,90.45390071670408,WHO/UNICEF Joint Monitoring Programme ()
GRC,2024,99.0072631280035,WHO/UNICEF Joint Monitoring Programme ()
MRT,2024,58.67692029593099,WHO/UNICEF Joint Monitoring Programme ()
HUN,2024,97.9736275561386,WHO/UNICEF Joint Monitoring Programme ()
LKA,2024,95.35302073741485,WHO/UNICEF Joint Monitoring Programme ()
CHL,2024,99.99999559875141,WHO/UNICEF Joint Monitoring Programme ()
ZMB,2024,37.47633621891119,WHO/UNICEF Joint Monitoring Programme ()
SLB,2024,34.64907374259758,WHO/UNICEF Joint Monitoring Programme ()
COK,2024,98.81372660384768,WHO/UNICEF Joint Monitoring Programme ()
AGO,2022,50.29513591587991,WHO/UNICEF Joint Monitoring Programme ()
MDV,2024,99.7013015304493,WHO/UNICEF Joint Monitoring Programme ()
PRK,2023,84.81845168856489,WHO/UNICEF Joint Monitoring Programme ()
SVN,2024,98.31115775087856,WHO/UNICEF Joint Monitoring Programme ()
NZL,2024,100.0,WHO/UNICEF Joint Monitoring Programme ()
WLF,2024,92.95491643447019,WHO/UNICEF Joint Monitoring Programme ()
TKL,2024,96.93221912504467,WHO/UNICEF Joint Monitoring Programme ()
ARM,2024,93.66494265200953,WHO/UNICEF Joint Monitoring Programme ()
GUM,2024,90.37657914875686,WHO/UNICEF Joint Monitoring Programme ()
BTN,2024,86.84210820750346,WHO/UNICEF Joint Monitoring Programme ()
CUB,2024,94.77035066883012,WHO/UNICEF Joint Monitoring Programme ()
MLT,2024,100.0,WHO/UNICEF Joint Monitoring Programme ()
KHM,2024,83.33593287143135,WHO/UNICEF Joint Monitoring Programme ()
MYS,2024,96.01999936887802,WHO/UNICEF Joint Monitoring Programme ()
VUT,2024,47.81415098281459,WHO/UNICEF Joint Monitoring Programme ()
IRN,2024,90.458288016159,WHO/UNICEF Joint Monitoring Programme ()
BHR,2024,100.0,WHO/UNICEF Joint Monitoring Programme ()
ECU,2024,91.20434014321599,WHO/UNICEF Joint Monitoring Programme ()
IRQ,2024,98.50475138556531,WHO/UNICEF Joint Monitoring Programme ()
