iso3,time_period,obs_value,data_source
PHL,2024,97.29397603517383,WHO/UNICEF Joint Monitoring Programme ()
BHR,2024,100.0,WHO/UNICEF Joint Monitoring Programme ()
DJI,2024,50.73513460614011,WHO/UNICEF Joint Monitoring Programme ()
WSM,2024,71.93628643508958,WHO/UNICEF Joint Monitoring Programme ()
SSD,2024,21.94120404374096,WHO/UNICEF Joint Monitoring Programme ()
MRT,2024,40.70401353548532,WHO/UNICEF Joint Monitoring Programme ()
TCD,2024,26.26566341161367,WHO/UNICEF Joint Monitoring Programme ()
CUB,2024,93.39669908740188,WHO/UNICEF Joint Monitoring Programme ()
LKA,2024,87.69434780821568,WHO/UNICEF Joint Monitoring Programme ()
KHM,2024,87.15861416152723,WHO/UNICEF Joint Monitoring Programme ()
ECU,2024,91.93901340756136,WHO/UNICEF Joint Monitoring Programme ()
MDV,2021,95.83909689393516,WHO/UNICEF Joint Monitoring Programme ()
TUV,2024,93.90621698239296,WHO/UNICEF Joint Monitoring Programme ()
ARM,2022,94.42366129192668,WHO/UNICEF Joint Monitoring Programme ()
BTN,2024,94.5245680476586,WHO/UNICEF Joint Monitoring Programme ()
LSO,2024,20.85235673938481,WHO/UNICEF Joint Monitoring Programme ()
KIR,2024,62.18402877824295,WHO/UNICEF Joint Monitoring Programme ()
CHN,2024,97.26631849692284,WHO/UNICEF Joint Monitoring Programme ()
TCA,2024,95.00215129918092,WHO/UNICEF Joint Monitoring Programme ()
MEX,2024,98.78670389732589,WHO/UNICEF Joint Monitoring Programme ()
EGY,2024,92.3051773361228,WHO/UNICEF Joint Monitoring Programme ()
ZWE,2024,42.50998935537208,WHO/UNICEF Joint Monitoring Programme ()
GAB,2024,48.17127022344336,WHO/UNICEF Joint Monitoring Programme ()
BEN,2024,12.86268352439956,WHO/UNICEF Joint Monitoring Programme ()
MMR,2024,74.67201275832483,WHO/UNICEF Joint Monitoring Programme ()
SLE,2024,18.7401149239473,WHO/UNICEF Joint Monitoring Programme ()
GIN,2022,20.63609568412677,WHO/UNICEF Joint Monitoring Programme ()
SDN,2024,10.76258197636571,WHO/UNICEF Joint Monitoring Programme ()
IRQ,2024,97.39525339165074,WHO/UNICEF Joint Monitoring Programme ()
TKM,2024,100.0,WHO/UNICEF Joint Monitoring Programme ()
GUY,2024,83.45144444274294,WHO/UNICEF Joint Monitoring Programme ()
TGO,2023,17.43561197598169,WHO/UNICEF Joint Monitoring Programme ()
MNE,2022,99.24174568329585,WHO/UNICEF Joint Monitoring Programme ()
TZA,2024,17.46453722653056,WHO/UNICEF Joint Monitoring Programme ()
NAM,2017,44.59990270775915,WHO/UNICEF Joint Monitoring Programme ()
IDN,2024,79.7817434765757,WHO/UNICEF Joint Monitoring Programme ()
COL,2024,70.42659278826855,WHO/UNICEF Joint Monitoring Programme ()
CIV,2024,22.01421833935042,WHO/UNICEF Joint Monitoring Programme ()
LBR,2024,3.487559519953213,WHO/UNICEF Joint Monitoring Programme ()
BOL,2024,27.03878210569058,WHO/UNICEF Joint Monitoring Programme ()
FJI,2024,86.63423973961672,WHO/UNICEF Joint Monitoring Programme ()
TON,2024,80.9378068387942,WHO/UNICEF Joint Monitoring Programme ()
CAF,2024,22.41178070956667,WHO/UNICEF Joint Monitoring Programme ()
PNG,2024,35.42585805592473,WHO/UNICEF Joint Monitoring Programme ()
SLV,2024,88.2411695341483,WHO/UNICEF Joint Monitoring Programme ()
BIH,2016,97.26105369095175,WHO/UNICEF Joint Monitoring Programme ()
COM,2024,34.78109050235975,WHO/UNICEF Joint Monitoring Programme ()
LBY,2024,95.59,WHO/UNICEF Joint Monitoring Programme ()
SWZ,2024,39.3192546303576,WHO/UNICEF Joint Monitoring Programme ()
TLS,2020,28.40753046801985,WHO/UNICEF Joint Monitoring Programme ()
KAZ,2019,99.00982747029433,WHO/UNICEF Joint Monitoring Programme ()
BFA,2024,25.8750194654032,WHO/UNICEF Joint Monitoring Programme ()
PRY,2020,80.15306360264087,WHO/UNICEF Joint Monitoring Programme ()
MHL,2021,85.0911570671975,WHO/UNICEF Joint Monitoring Programme ()
SEN,2024,26.90321399591303,WHO/UNICEF Joint Monitoring Programme ()
