iso3,time_period,value
AFG,2023,28.7
ALB,2018,11.8
DZA,2019,3.8
AGO,2016,30.3
ARG,2020,15.5
ARM,2016,5.3
TCA,2020,23.3
AZE,2011,11.0
BGD,2019,51.4
BRB,2012,29.2
BLR,2019,4.7
BEL,2020,0.1
BLZ,2016,33.5
BTN,2010,25.8
BOL,2016,19.7
BIH,2012,3.5
BRA,2006,26.2
GAB,2021,13.3
GMB,2020,23.1
GEO,2018,13.9
GHA,2022,16.1
BFA,2015,51.3
BDI,2017,19.0
KHM,2022,17.9
CPV,2018,8.4
CHN,2020,2.8
CRI,2018,17.1
CIV,2021,25.8
PRK,2017,0.1
DNK,2021,0.7
DJI,2019,6.5
DOM,2019,31.5
ECU,2018,22.2
SLV,2021,19.7
GNQ,2011,29.5
ERI,2010,40.7
ETH,2016,40.3
FIN,2017,0.1
GTM,2015,29.5
GNB,2019,25.7
GIN,2018,46.5
GUY,2020,32.3
HTI,2017,14.9
HND,2019,34.0
IRN,2010,16.7
IRQ,2018,27.9
JAM,2011,7.9
JOR,2018,9.7
KAZ,2015,7.0
KEN,2022,12.5
KIR,2019,18.4
KGZ,2018,12.9
LAO,2017,32.7
LBN,2016,6.0
LSO,2018,16.4
LBR,2020,24.9
MHL,2007,26.3
MRT,2021,36.6
PRY,2016,21.6
PER,2020,14.1
LTU,2022,0.2
MDG,2021,38.8
MDV,2017,2.2
MLI,2018,53.7
MEX,2018,20.7
MDA,2012,12.2
MNG,2018,12.0
MAR,2018,13.7
MOZ,2015,52.9
NAM,2013,6.9
NRU,2007,26.8
NPL,2022,34.9
NIC,2012,35.2
NER,2012,76.3
NOR,2022,0.0
OMN,2014,4.0
PAK,2018,18.3
PAN,2013,26.4
QAT,2012,4.2
ROU,2021,6.9
LCA,2012,24.0
WSM,2020,7.4
TON,2019,10.1
STP,2019,28.0
SLE,2019,29.6
SGP,2023,0.1
SLB,2015,21.3
SOM,2006,45.3
ZAF,2016,3.6
LKA,2016,9.8
SUR,2018,36.0
SWZ,2022,1.9
SYR,2006,13.3
TJK,2017,8.7
THA,2022,17.0
MKD,2019,7.5
TLS,2016,14.9
TGO,2017,24.8
TTO,2022,4.2
TUR,2018,14.7
TKM,2019,6.1
TUV,2020,1.8
UKR,2012,9.1
GBR,2021,0.0
URY,2013,24.6
UZB,2022,3.4
VNM,2021,14.6
YEM,2023,29.6
ZWE,2019,33.7
IDN,2017,16.3
MMR,2016,16.0
PNG,2018,27.3
PHL,2022,9.4
FJI,2021,4.0
VUT,2013,21.4
SEN,2019,30.5
CUB,2019,29.4
SDN,2014,34.2
EGY,2021,15.8
SSD,2010,51.5
PSE,2020,13.4
MNE,2018,5.8
SRB,2019,5.5
TUN,2018,1.5
RUS,2017,6.2
COL,2015,23.4
RWA,2020,5.5
TZA,2022,29.1
COD,2018,29.1
UGA,2016,34.0
MWI,2020,37.7
ZMB,2018,29.0
CMR,2018,29.8
TCD,2019,60.6
CAF,2019,61.0
COG,2015,27.3
NGA,2021,30.3
BEN,2022,27.5
COM,2022,20.7
IND,2021,23.3
