iso3,time_period,obs_value,data_source
AFG,2023,19.3,"MICS 2022-23, UNICEF and ILO calculations"
AGO,2024,14.0,"DHS 2023-24, UNICEF and ILO calculations"
ARG,2017,2.0,"EANNA 2016-17, UNICEF and ILO calculations"
ARM,2015,4.1,"CLS 2015, ILO Harmonized Microdata, https://ilostat.ilo.org/"
AZE,2023,5.1,"MICS 2023, UNICEF and ILO calculations"
BDI,2020,56.6,"ECVM 2020, UNICEF and ILO calculations"
BEN,2022,19.9,"MICS 2021-22, UNICEF and ILO calculations"
BFA,2022,20.6,"NCLS 2022, UNICEF and ILO calculations"
BGD,2025,9.2,"MICS 2025, UNICEF and ILO calculations"
BLR,2019,4.1,"MICS 2019, UNICEF and ILO calculations"
BLZ,2013,3.3,"CAS 2013, ILO Harmonized Microdata, https://ilostat.ilo.org/"
BOL,2019,13.6,"ENNA 2019, UNICEF and ILO calculations"
BRA,2022,2.1,"PNADC 2022, UNICEF and ILO calculations"
CAF,2019,26.9,"MICS 2018-19, UNICEF and ILO calculations"
CHL,2012,5.9,"EANNA 2012, Youth Activity Survey (Encuesta de Actividades de Nino, Ninas y Adolescentes) 2012, ILO Harmonized Microdata, https://ilostat.ilo.org/"
CIV,2022,13.0,"ECVM 2022, UNICEF and ILO calculations"
CMR,2014,38.9,"MICS 2014, UNICEF and ILO calculations"
COD,2024,11.9,DHS 2023-24
COG,2015,14.1,"MICS 2014-15, UNICEF and ILO calculations"
COL,2024,2.9,"GEIH 2024, UNICEF and ILO calculations"
COM,2022,9.1,"MICS 2022, UNICEF and ILO calculations"
CRI,2018,3.8,"MICS 2018, UNICEF and ILO calculations"
DOM,2019,3.8,"MICS 2019, UNICEF and ILO calculations"
DZA,2019,2.5,"MICS 2018-19, UNICEF and ILO calculations"
EGY,2023,11.4,"NCLS 2023, UNICEF and ILO calculations"
FJI,2021,16.7,"MICS 2021, UNICEF and ILO calculations"
GAB,2021,11.8,"DHS 2019-21, UNICEF and ILO calculations"
GEO,2015,1.6,"CLS 2015, ILO Harmonized Microdata, https://ilostat.ilo.org/"
GHA,2018,20.1,"MICS 2017-18, UNICEF and ILO calculations"
GIN,2016,24.2,"MICS 2016, UNICEF and ILO calculations"
GMB,2018,16.9,"MICS 2018, UNICEF and ILO calculations"
GNB,2022,30.5,"EHCVM 2022, UNICEF and ILO calculations"
GUY,2020,6.4,"MICS 2019-20, UNICEF and ILO calculations"
HND,2023,28.8,"ENTIH 2023, UNICEF and ILO calculations"
IRQ,2018,4.5,"MICS 2018, UNICEF and ILO calculations"
JAM,2022,3.6,"MICS 2022, UNICEF and ILO calculations"
JOR,2016,1.7,"CLS 2016, ILO Harmonized Microdata, https://ilostat.ilo.org/"
KAZ,2024,7.5,"MICS 2024, UNICEF and ILO calculations"
KGZ,2023,19.6,"MICS 2023, UNICEF and ILO calculations"
KHM,2012,12.6,"LFS 2012, UNICEF and ILO calculations"
KIR,2019,16.5,"MICS 2018-19, UNICEF and ILO calculations"
LAO,2023,23.1,"MICS 2023, UNICEF and ILO calculations"
LBR,2020,27.8,"DHS 2019-20, UNICEF and ILO calculations"
LBY,2025,3.1,"MICS 2024-25, UNICEF and ILO calculations"
LKA,2016,0.8,"CAS 2016, ILO Harmonized Microdata, https://ilostat.ilo.org/"
LSO,2018,13.9,"MICS 2018, UNICEF and ILO calculations"
MDG,2018,36.7,"MICS 2018, UNICEF and ILO calculations"
MEX,2022,6.0,"ENTI 2022, UNICEF and ILO calculations"
MKD,2019,2.9,"MICS 2018-19, UNICEF and ILO calculations"
MLI,2020,22.7,"EMOP 2020, UNICEF and ILO calculations"
MMR,2015,9.9,"LFS 2015, UNICEF and ILO calculations"
MNE,2018,7.7,"MICS 2018, UNICEF and ILO calculations"
MNG,2023,11.7,"MICS 2023, UNICEF and ILO calculations"
MRT,2015,14.0,"MICS 2015, UNICEF and ILO calculations"
MWI,2020,14.0,"MICS 2019-20, UNICEF and ILO calculations"
NER,2022,42.7,"ECVM 2022, UNICEF and ILO calculations"
NGA,2021,31.5,"MICS 2021, UNICEF and ILO calculations"
NPL,2017,10.0,"LFS 2017-18, UNICEF and ILO calculations"
NRU,2023,1.1,"MICS 2023, UNICEF and ILO calculations"
PAN,2016,2.3,"Encuesta Trabajo Infantil (ETI) 2016, UNICEF and ILO calculations"
PER,2015,14.5,"CLS (Encuesta Trabajo Infantil) 2015, UNICEF and ILO calculations"
PRK,2017,4.3,"MICS 2017, UNICEF and ILO calculations"
PRY,2016,17.9,"MICS 2016, UNICEF and ILO calculations"
PSE,2020,7.3,"MICS 2019-20, UNICEF and ILO calculations"
RWA,2024,6.8,"EICV 2024, UNICEF and ILO calculations"
SDN,2022,18.2,"LMPS 2022, UNICEF and ILO calculations"
SEN,2016,22.8,"DHS 2015-16, UNICEF and ILO calculations"
SLE,2017,25.2,"MICS 2017, UNICEF and ILO calculations"
SLV,2019,6.9,"Encuesta de Hogares de Propósitos Múltiples (EHPM) 2019, UNICEF and ILO calculations"
SRB,2019,9.5,"MICS 2019, UNICEF and ILO calculations"
STP,2019,10.5,"MICS 2019, UNICEF and ILO calculations"
SUR,2018,4.3,"MICS 2018, UNICEF and ILO calculations"
SWZ,2022,13.6,"MICS 2021-22, UNICEF and ILO calculations"
TCA,2020,6.1,"MICS 2019-20, UNICEF and ILO calculations"
TCD,2019,39.0,"MICS 2019, UNICEF and ILO calculations"
TGO,2022,26.9,"ECVM 2022, UNICEF and ILO calculations"
TKM,2016,0.3,"MICS 2015-16, UNICEF and ILO calculations"
TLS,2016,9.2,"National Child Labour and Forced Labour Survey 2016, ILO Harmonized Microdata, https://ilostat.ilo.org/"
TON,2019,26.1,"MICS 2019, UNICEF and ILO calculations"
TTO,2022,4.3,"MICS 2022, UNICEF and ILO calculations"
TUN,2023,3.2,"MICS 2023, UNICEF and ILO calculations"
TUR,2022,5.9,"Türkiye Child Survey 2022, UNICEF and ILO calculations"
TUV,2020,4.0,"MICS 2019-20, UNICEF and ILO calculations"
TZA,2014,24.8,"Integrated LFS-CLS 2014, ILO Harmonized Microdata, https://ilostat.ilo.org/"
UGA,2021,40.8,"NLFS 2021, UNICEF and ILO calculations"
UKR,2015,4.0,Modular Child Labour Survey 2015
URY,2010,4.2,"CLS (Encuesta Nacional de Trabajo Infantil) 2010, UNICEF and ILO calculations"
UZB,2022,20.6,"MICS 2021-22, UNICEF and ILO calculations"
VNM,2021,6.9,"MICS 2020-21, UNICEF and ILO calculations"
VUT,2023,28.5,"MICS 2023, UNICEF and ILO calculations"
WSM,2022,7.1,"LFS 2022, UNICEF and ILO calculations"
YEM,2023,15.9,"MICS 2022-23, UNICEF and ILO calculations"
ZAF,2019,7.5,"Survey of Activities of Young People 2019, UNICEF and ILO calculations"
ZMB,2023,18.7,"LFS 2023, UNICEF and ILO calculations"
ZWE,2019,27.9,"MICS 2019, UNICEF and ILO calculations"
