iso3,time_period,obs_value,data_source
ALB,2017,7.101171970367432,DHS VII
DZA,2012,16.341026306152344,MICS 4
AGO,2015,52.25838088989258,DHS-VII
ARM,2015,4.034465312957764,DHS VII
BGD,2014,24.21149253845215,DHS VII
BLZ,2015,16.413541793823242,MICS5
GAB,2012,19.590499877929688,DHS-VI
GMB,2018,18.850383758544922,MICS 6
GHA,2014,48.86249923706055,DHS-VII
BDI,2016,24.05662727355957,DHS VII
KHM,2014,71.84466552734375,DHSVII
CRI,2018,2.6400771141052246,MICS 6
CIV,2011,46.5936164855957,DHS VI
DOM,2013,14.192444801330566,DHS-VI
SLV,2014,21.300617218017578,MICS5
ETH,2016,73.13780975341797,DHS-VII
GTM,2014,39.58977127075195,DHS VII
GNB,2014,37.80472946166992,MICS5
GIN,2018,45.50018310546875,DHS VII
GUY,2014,13.988157272338867,MICS5
HTI,2016,43.894142150878906,DHS VII
HND,2011,32.413665771484375,DHS-VI
IRQ,2018,23.448150634765625,MICS6
KEN,2014,46.638946533203125,DHS-VII
KIR,2018,53.12002944946289,MICS6
KGZ,2018,11.772290229797363,MICS6
LAO,2017,49.20970916748047,MICS6
LSO,2014,48.05428695678711,DHS VII
LBR,2013,62.835289001464844,DHS VI
MRT,2015,64.62894439697266,MICS5
PRY,2016,11.838051795959473,MICS5
PER,2012,18.625778198242188,DHS-VI
MDG,2018,71.24952697753906,MICS6
MDV,2016,9.174131393432617,DHS-VII
MLI,2018,42.62075424194336,DHS VII
MEX,2015,16.39940643310547,MICS 5
MNG,2018,27.49608039855957,MICS 6
MOZ,2011,59.57489013671875,DHS-VI
NAM,2013,62.11032485961914,DHS VI
NPL,2016,31.663454055786133,DHS VII
NER,2012,83.46825408935547,DHS VI
PAK,2017,52.424766540527344,DHS VII
STP,2014,56.26682662963867,MICS 5
SLE,2017,41.419376373291016,MICS6
ZAF,2016,17.308435440063477,DHS VII
SUR,2018,15.862074851989746,MICS6
SWZ,2014,32.95541763305664,MICS5
TJK,2017,29.868173599243164,DHS VII
THA,2015,8.697178840637207,MICS 5
TLS,2016,38.54291534423828,DHS-VII
TGO,2014,68.58829498291016,DHS VI
TKM,2015,5.6451287269592285,MICS 5
YEM,2013,56.06221008300781,DHS-VI
ZWE,2015,40.71895217895508,DHS-VII
MMR,2015,45.66059494018555,DHS VII
PNG,2016,54.45390701293945,DHS VII
SEN,2017,38.701358795166016,DHS VII
EGY,2014,12.093639373779297,DHS VI
TUN,2018,9.102604866027832,MICS6
RWA,2014,26.39992332458496,DHS VII
TZA,2015,38.06033706665039,DHS-VII
COD,2013,40.83245849609375,DHS VI
UGA,2016,35.196285247802734,DHS VII
MWI,2015,24.835147857666016,DHS VII
ZMB,2018,39.6242561340332,DHS VII
CMR,2018,28.235328674316406,DHS-VII
TCD,2014,80.43716430664062,DHS-VII
COG,2012,30.605852127075195,DHS-VI
NGA,2018,50.21057891845703,DHS-VII
BEN,2017,69.4467544555664,DHS VII
COM,2012,25.520671844482422,DHS-VI
IND,2015,60.244712829589844,DHS-VII
