iso3,time_period,obs_value,data_source
AFG,2024,59.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
AGO,2024,64.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
ALB,2024,97.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
AND,2024,98.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
ARE,2024,96.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
ARG,2024,75.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
ARM,2024,94.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
ATG,2024,99.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
AUS,2024,93.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
AUT,2024,85.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
AZE,2024,51.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
BDI,2024,89.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
BEL,2024,97.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
BEN,2024,63.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
BFA,2024,91.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
BGD,2024,97.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
BGR,2024,94.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
BHR,2024,96.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
BHS,2024,90.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
BIH,2024,79.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
BLR,2024,98.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
BLZ,2024,88.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
BOL,2024,59.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
BRA,2024,91.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
BRB,2024,94.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
BRN,2024,99.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
BTN,2024,98.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
BWA,2024,95.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
CAF,2024,42.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
CAN,2024,92.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
CHE,2024,96.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
CHL,2024,95.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
CHN,2024,97.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
CIV,2024,77.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
CMR,2024,77.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
COD,2024,65.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
COG,2024,78.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
COK,2024,75.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
COL,2024,89.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
COM,2024,75.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
CPV,2024,93.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
