iso3,time_period,value
AFG,2015,37.217079
ALB,2018,97.671013
DZA,2020,68.905968
AGO,2016,36.50642
ARG,2020,79.316093
ARM,2016,97.058952
TCA,2020,98.842407
BGD,2019,64.699997
BRB,2012,98.0
BLR,2020,98.800743
BLZ,2016,60.299999
BTN,2010,38.900002
BOL,2016,82.905907
BIH,2012,96.800003
BWA,2017,91.5
BRA,2019,84.699997
GAB,2012,32.460979
GMB,2013,48.697842
GEO,2018,97.699997
GHA,2018,47.422539
BFA,2010,9.0
BDI,2017,22.200001
KHM,2014,40.0
CHL,2017,95.600967
CHN,2015,93.199997
CRI,2018,72.890152
CIV,2016,28.299999
PRK,2017,99.800003
DOM,2019,76.727829
ECU,2019,90.199997
SLV,2014,73.300003
ETH,2016,21.065941
GTM,2015,48.24213
GNB,2019,17.050091
GIN,2018,25.398821
GUY,2020,83.254868
HTI,2017,35.051491
HND,2019,54.185829
IRQ,2018,46.400002
JAM,2011,96.599998
JOR,2018,86.989372
KAZ,2015,99.699997
KEN,2014,64.800003
KIR,2019,78.095062
KGZ,2018,98.900002
LAO,2017,53.540642
LSO,2018,44.299999
LBR,2013,26.1
MRT,2015,45.948299
PRY,2017,80.0
PER,2012,82.599998
MDG,2018,26.4
MLI,2015,30.299999
MEX,2018,88.599998
MDA,2012,96.520393
MNG,2014,89.729523
MOZ,2011,12.62386
NAM,2013,55.700001
NPL,2019,73.09626
NER,2012,5.8079791
PAK,2018,49.58477
PAN,2013,77.5
LCA,2012,91.810768
WSM,2020,96.769867
TON,2019,70.879173
STP,2019,59.905949
SLE,2017,44.200001
ZAF,2016,88.452599
LKA,2016,95.144829
SUR,2018,49.374489
SWZ,2014,50.470829
TJK,2017,94.18676
THA,2019,86.207672
MKD,2019,93.983742
TLS,2016,66.03978
TGO,2017,47.39201
TUR,2013,93.942863
TKM,2019,98.990723
TUV,2020,81.838333
UKR,2012,99.599998
URY,2013,68.528961
VNM,2014,83.699997
YEM,2013,46.299999
ZWE,2019,48.599998
IDN,2017,88.078247
MMR,2015,44.812
PHL,2017,81.121292
SEN,2019,29.03483
CUB,2019,94.091927
SDN,2014,50.347809
EGY,2014,80.363083
SSD,2010,15.11
PSE,2020,86.03743
MNE,2018,94.674019
SRB,2019,99.528503
TUN,2018,74.199997
COL,2015,77.607498
RWA,2015,27.9
TZA,2015,28.6
COD,2018,54.386219
UGA,2016,24.91172
MWI,2016,22.200001
ZMB,2018,51.646271
CMR,2018,47.42281
TCD,2019,13.19732
CAF,2019,12.26978
COG,2015,50.33802
NGA,2018,62.599998
BEN,2018,18.63559
COM,2012,46.0
IND,2016,80.885002
