iso3,time_period,value
AFG,2015,56.114071
ALB,2018,2.0999999
DZA,2020,4.2468548
AGO,2016,16.864519
ARG,2020,1.06985
ARM,2016,0.89999998
TCA,2020,0.2495954
BGD,2019,8
BRB,2012,1.220597
BLR,2020,0.31680471
BLZ,2016,8.5
BTN,2010,18.359541
BOL,2016,4.1932659
BIH,2012,1.2
BWA,2017,4.5
BRA,2019,1.041109
GAB,2012,2.6874239
GMB,2013,35.340038
GEO,2018,0.7833119
GHA,2018,6.4363341
BFA,2010,58.5
BDI,2017,28.299999
KHM,2014,24.865891
CHL,2017,0.60000002
CHN,2015,3.2
CRI,2018,2.8940561
CIV,2016,38.119308
PRK,2017,0.30000001
DOM,2019,2.3194821
ECU,2019,5.4000001
SLV,2014,15.2
ETH,2016,31.299999
GTM,2015,33.599998
GNB,2019,26.079861
GIN,2018,53.886902
GUY,2020,4.756506
HTI,2017,5.201169
HND,2019,25.857731
IRQ,2018,27.700001
JAM,2011,0.69063997
JOR,2018,5.0999999
KAZ,2015,0.0267945
KEN,2014,3.3877161
KIR,2019,5.2956481
KGZ,2018,1.2
LAO,2017,22.299999
LSO,2018,8.8000002
LBR,2013,18.39839
MRT,2015,41.810169
PRY,2017,6.5999999
PER,2012,7.0999999
MDG,2018,33.099998
MDV,2017,3.830708
MLI,2015,63
MEX,2018,5.4000001
MDA,2012,1.421798
MNG,2018,3.3
MOZ,2011,38.299999
NAM,2013,12.10965
NPL,2019,4.4802279
NER,2012,72.58609
PAK,2018,31.9296
PAN,2013,3.4133899
QAT,2012,3.1388519
ROU,2016,10.2
LCA,2012,0.958821
WSM,2020,3.4791009
TON,2019,7.7510061
STP,2019,4.2260499
SLE,2017,17.6
ZAF,2016,4.3000002
LKA,2016,0.74520868
SUR,2018,5.5
SWZ,2014,4.1999998
TJK,2017,4.437202
THA,2019,1.605356
MKD,2019,2.4302299
TLS,2016,7.8183241
TGO,2017,14.34949
TTO,2011,2.7916529
TUR,2013,3.38151
TKM,2019,0.93591958
TUV,2020,17.30792
UKR,2012,1.1
URY,2013,11.26425
VNM,2014,5.873158
YEM,2013,31.70694
ZWE,2019,16.4
IDN,2017,4.2785702
MMR,2016,17.4
PHL,2017,3.1776979
SEN,2019,36.29673
CUB,2019,1.593021
SDN,2014,24.5
EGY,2014,10.32044
SSD,2010,67.330406
PSE,2020,1.576453
MNE,2018,1.649568
SRB,2019,0.43215179
TUN,2018,6.8000002
COL,2015,2.8
RWA,2015,25.6
TZA,2016,58.299999
COD,2018,17.706129
UGA,2016,23.43749
MWI,2016,7.8872399
ZMB,2018,26.749201
CMR,2018,22.04649
TCD,2019,58.047482
CAF,2019,30.182819
COG,2015,7.7695389
NGA,2018,28.6
BEN,2018,46.799999
COM,2012,14.14954
IND,2016,7.5483842
