iso3,time_period,obs_value,data_source
AFG,2013,93.2679977416992,
ALB,2021,10.2368154525756,
DZA,2007,67.9034805297851,
ARG,2019,59.1471900939941,
ARM,2019,27.2411460876464,
AUS,2021,9.0636396408081,
AUT,2021,14.969030380249,
AZE,2021,37.5467720031738,
BHR,2021,30.1656990051269,
BGD,2022,51.2200012207031,
FRA,2021,6.63674163818359,
BEL,2021,8.52700424194335,
BLZ,2001,76.4140396118164,
BWA,2011,50.8376502990722,
BRA,2019,46.8978614807128,
GAB,2019,30.6775608062744,
GEO,2021,13.5263748168945,
DEU,2021,15.439902305603,
BGR,2021,18.1856994628906,
BFA,2019,73.8611907958984,
BDI,2019,95.8188552856445,
KHM,2019,90.0033493041992,
CAN,2016,4.30185747146606,
CHL,2019,27.1904296875,
CHN,2016,18.2000007629394,
GRC,2001,7.68641948699951,
CRI,2019,34.0240669250488,
HRV,2021,3.89054417610168,
CYP,2021,10.2496576309204,
CZE,2021,14.2066078186035,
CIV,2019,79.8854217529296,
DNK,2021,5.13658905029296,
DOM,2019,77.7178573608398,
ECU,2019,65.9371261596679,
SLV,2019,69.0736236572265,
ETH,2015,90.3896408081054,
FIN,2021,4.78112697601318,
GTM,2019,78.5161895751953,
GIN,2019,82.6748275756835,
HND,2019,79.2916030883789,
HUN,2021,9.15569114685058,
ISL,2006,9.32339096069335,
IRN,2021,41.5363006591796,
IRL,2021,2.3305127620697,
ISR,2021,14.3992156982421,
ITA,2021,5.49675559997558,
JPN,2019,3.59502744674682,
MLT,2021,10.1601848602294,
JOR,2021,62.24605178833,
KAZ,2021,10.4149551391601,
KEN,2023,79.2863388061523,
KWT,2016,51.0825309753418,
KGZ,2014,64.4912490844726,
LAO,2019,97.71728515625,
LVA,2021,8.4379014968872,
LSO,2016,96.8991394,
MRT,2004,94.7653198242187,
MUS,2006,40.4578781127929,
PRY,2019,77.7440109252929,
PER,2019,44.4424438476562,
LTU,2021,3.27572441101074,
LUX,2006,2.95047807693481,
MAC,2021,7.18974161148071,
MDG,2019,95.2420349121093,
MYS,2019,42.025634765625,
MLI,2012,90.438362121582,
MEX,2019,47.634178161621,
MDA,2006,11.0100898742675,
MNG,2007,39.4648284912109,
MAR,2021,59.7595329284668,
NLD,2021,4.4913740158081,
NZL,2021,10.8613500595092,
NIC,2019,78.9034957885742,
NER,2019,90.4368209838867,
NOR,2021,4.29407835006713,
OMN,2021,40.6137619018554,
PAK,2019,79.5432510375976,
PAN,2019,78.5126113891601,
POL,2021,5.55067777633667,
PRT,2021,7.97772073745727,
QAT,2021,21.058874130249,
KOR,2019,3.23008060455322,
ROU,2011,17.8603286743164,
SAU,2021,32.4055786132812,
SGP,2021,3.37001085281372,
SVK,2021,22.1248226165771,
SVN,2021,7.21811628341674,
ZAF,2021,82.0170516967773,
ESP,2021,7.30008029937744,
LKA,2015,14.8060665130615,
SWE,2021,5.27216482162475,
THA,2011,23.4157752990722,
MKD,2021,33.0288696289062,
TGO,2019,81.6579208374023,
TTO,2016,20.644582748413,
TUR,2021,18.5090885162353,
UKR,2007,27.8803100585937,
ARE,2021,25.9162464141845,
GBR,2021,3.39390325546264,
USA,2021,9.69157028198242,
URY,2019,43.618366241455,
UZB,2021,32.3652610778808,
VNM,2019,18.1209163665771,
YEM,2011,94.660057067871,
IDN,2015,52.82275390625,
MMR,2019,89.4679412841796,
PHL,2019,90.9132614135742,
SEN,2019,68.5682296752929,
HKG,2021,5.39016532897949,
EGY,2021,56.1192741394043,
MNE,2021,15.8112621307373,
SRB,2021,8.84685134887695,
TUN,2011,65.532859802246,
RUS,2021,3.76424741744995,
COL,2019,51.3569412231445,
COD,2019,96.6015014648437,
UGA,2014,81.9233627319335,
ZMB,2019,98.5042114257812,
CMR,2019,71.9326171875,
TCD,2019,94.410545349121,
COG,2019,70.0140151977539,
BEN,2019,55.7761039733886,
COM,2008,86.0233459472656,
IND,2017,56.0705604553222,
