iso3,time_period,obs_value,data_source
AFG,2015,37.217079,DHS 2015
ALB,2018,97.671013,DHS 2017-18
DZA,2020,68.905968,MICS 2019
AGO,2016,36.50642,DHS 2015-16
ARG,2020,79.316093,MICS 2019-20
ARM,2016,97.058952,DHS 2015-16
TCA,2020,98.842407,MICS 2019-20
BGD,2019,64.699997,MICS 2019
BRB,2012,98.0,MICS 2012
BLR,2020,98.800743,MICS 2019
BLZ,2016,60.299999,MICS 2015-16
BTN,2010,38.900002,MICS 2010
BOL,2016,82.905907,Encuesta de DemografÃ­a y Salud (EDSA) 2016
BIH,2012,96.800003,MICS 2011-12
BWA,2017,91.5,Botswana Demographic Survey 2017
BRA,2019,84.699997,PNAD 2019
GAB,2012,32.460979,DHS 2012
GMB,2013,48.697842,DHS 2013
GEO,2018,97.699997,MICS 2018
GHA,2018,47.422539,MICS 2017-18
BFA,2010,9.0,DHS 2010
BDI,2017,22.200001,DHS 2016-17
KHM,2014,40.0,DHS 2014
CHL,2017,95.600967,CASEN 2017
CHN,2015,93.199997,National Population Sample Survey 2015
CRI,2018,72.890152,MICS 2018
CIV,2016,28.299999,MICS 2016
PRK,2017,99.800003,MICS 2017
DOM,2019,76.727829,MICS 2019
ECU,2019,90.199997,GEPH-ENEMDU-DICIEMBRE - 2019
SLV,2014,73.300003,MICS 2014
ETH,2016,21.065941,DHS 2016
GTM,2015,48.24213,DHS 2014-15
GNB,2019,17.050091,MICS 2018-19
GIN,2018,25.398821,DHS 2018
GUY,2020,83.254868,MICS 2019-20
HTI,2017,35.051491,DHS 2016-17
HND,2019,54.185829,MICS 2019
IRQ,2018,46.400002,MICS 2018
JAM,2011,96.599998,MICS 2011
JOR,2018,86.989372,DHS 2017-18
KAZ,2015,99.699997,MICS 2015
KEN,2014,64.800003,DHS 2014
KIR,2019,78.095062,MICS 2018-19
KGZ,2018,98.900002,MICS 2018
LAO,2017,53.540642,MIC 2017
LSO,2018,44.299999,MICS 2018
LBR,2013,26.1,DHS 2013
MRT,2015,45.948299,MICS 2015
PRY,2017,80.0,Encuesta Permanente de Hogares 2017
PER,2012,82.599998,DHS 2012
MDG,2018,26.4,MICS 2018
MLI,2015,30.299999,MICS 2015
MEX,2018,88.599998,ENIGH 2018
MDA,2012,96.520393,MICS 2012
MNG,2014,89.729523,MICS 2013-14
MOZ,2011,12.62386,DHS 2011
NAM,2013,55.700001,DHS 2013
NPL,2019,73.09626,MICS 2019
NER,2012,5.8079791,DHS 2012
PAK,2018,49.58477,DHS 2017-18
PAN,2013,77.5,MICS 2013
LCA,2012,91.810768,MICS 2012
WSM,2020,96.769867,MICS 2019-20
TON,2019,70.879173,MICS 2019
STP,2019,59.905949,MICS 2019
SLE,2017,44.200001,MICS 2017
ZAF,2016,88.452599,DHS 2016
LKA,2016,95.144829,DHS 2016
SUR,2018,49.374489,MICS 2018
SWZ,2014,50.470829,MICS 2014
TJK,2017,94.18676,DHS 2017
THA,2019,86.207672,MICS 2019
MKD,2019,93.983742,MICS 2018-19
TLS,2016,66.03978,DHS 2016
TGO,2017,47.39201,MICS 2017
TUR,2013,93.942863,DHS style 2013
TKM,2019,98.990723,MICS 2019
TUV,2020,81.838333,MICS 2019-20
UKR,2012,99.599998,MICS 2012
URY,2013,68.528961,MICS 2012-13
VNM,2014,83.699997,MICS 2014
YEM,2013,46.299999,DHS 2013
ZWE,2019,48.599998,MICS 2019
IDN,2017,88.078247,DHS 2017
MMR,2015,44.812,DHS 2015
PHL,2017,81.121292,DHS 2017
SEN,2019,29.03483,DHS 2019
CUB,2019,94.091927,MICS 2019
SDN,2014,50.347809,MICS 2014
EGY,2014,80.363083,DHS 2014
SSD,2010,15.11,MICS 2010
PSE,2020,86.03743,MICS 2019-20
MNE,2018,94.674019,MICS 2018
SRB,2019,99.528503,MICS 2019
TUN,2018,74.199997,MICS 2018
COL,2015,77.607498,DHS 2015
RWA,2015,27.9,DHS 2014-15
TZA,2015,28.6,DHS 2015
COD,2018,54.386219,MICS 2017-18
UGA,2016,24.91172,DHS 2016
MWI,2016,22.200001,DHS 2015-16
ZMB,2018,51.646271,DHS 2018
CMR,2018,47.42281,DHS 2018
TCD,2019,13.19732,MICS 2019
CAF,2019,12.26978,MICS 2018-19
COG,2015,50.33802,MICS 2014-15
NGA,2018,62.599998,DHS 2018
BEN,2018,18.63559,DHS 2017-18
COM,2012,46.0,DHS 2012
IND,2016,80.885002,DHS 2015-16
