iso3,time_period,obs_value,data_source
AFG,2015,39.961262,DHS 2015
ALB,2018,2.0999999,DHS 2017-18
DZA,2020,4.1267591,MICS 2019
AGO,2016,15.28392,DHS 2015-16
ARG,2020,1.1388741,MICS 2019-20
ARM,2016,0.80000001,DHS 2015-16
TCA,2020,0.1221493,MICS 2019-20
BGD,2019,13.0,MICS 2019
BRB,2012,1.175126,MICS 2012
BLR,2020,0.14797039,MICS 2019
BLZ,2016,9.1999998,MICS 2015-16
BTN,2010,19.222851,MICS 2010
BOL,2016,4.174078,Encuesta de DemografÃ­a y Salud (EDSA) 2016
BIH,2012,0.89999998,MICS 2011-12
BWA,2017,4.3000002,Botswana Demographic Survey 2017
BRA,2019,1.002879,PNAD 2019
GAB,2012,3.329736,DHS 2012
GMB,2013,32.913952,DHS 2013
GEO,2018,1.2,MICS 2018
GHA,2018,7.0573678,MICS 2017-18
BFA,2010,57.0,DHS 2010
BDI,2017,29.4,DHS 2016-17
KHM,2014,25.21611,DHS 2014
CHL,2017,0.5,CASEN 2017
CHN,2015,3.3,National Population Sample Survey 2015
CRI,2018,2.587903,MICS 2018
CIV,2016,32.53397,MICS 2016
PRK,2017,0.2,MICS 2017
DOM,2019,3.3613219,MICS 2019
ECU,2019,6.0,GEPH-ENEMDU-DICIEMBRE - 2019
SLV,2014,14.8,MICS 2014
ETH,2016,30.75,DHS 2016
GTM,2015,28.700001,DHS 2014-15
GNB,2019,23.26907,MICS 2018-19
GIN,2018,46.462311,DHS 2018
GUY,2020,5.1424832,MICS 2019-20
HTI,2017,6.2629771,DHS 2016-17
HND,2019,28.97571,MICS 2019
IRQ,2018,21.1,MICS 2018
JAM,2011,0.72722727,MICS 2011
JOR,2018,5.3000002,DHS 2017-18
KAZ,2015,0.2,MICS 2015
KEN,2014,3.2698109,DHS 2014
KIR,2019,10.34616,MICS 2018-19
KGZ,2018,1.4,MICS 2018
LAO,2017,20.0,MICS 2017
LSO,2018,14.1,MICS 2018
LBR,2013,19.61795,DHS 2013
MRT,2015,41.02861,MICS 2015
PRY,2017,7.6999998,Encuesta Permanente de Hogares 2017
PER,2012,7.0,DHS 2012
MDG,2018,35.599998,MICS 2018
MDV,2017,3.9809189,DHS 2016-17
MLI,2015,59.0,MICS 2015
MEX,2018,6.0,ENIGH 2018
MDA,2012,2.678643,MICS 2012
MNG,2018,4.4000001,MICS 2018
MOZ,2011,33.099998,DHS 2011
NAM,2013,11.66673,DHS 2013
NPL,2019,4.3248758,MICS 2019
NER,2012,69.712318,DHS 2012
PAK,2018,26.92841,DHS 2017-18
PAN,2013,3.9000001,MICS 2013
QAT,2012,2.700768,MICS 2012
ROU,2016,10.0,Institute of Educational Sciences and UNICEF 2015-2016
LCA,2012,1.093821,MICS 2012
WSM,2020,5.1649661,MICS 2019-20
TON,2019,10.73647,MICS 2019
STP,2019,6.4788709,MICS 2019
SLE,2017,19.0,MICS 2017
ZAF,2016,5.1999998,DHS 2016
LKA,2016,0.89038199,DHS 2016
SUR,2018,6.5999999,MICS 2018
SWZ,2014,4.4000001,MICS 2014
TJK,2017,2.790098,DHS 2017
THA,2019,3.365458,MICS 2019
MKD,2019,1.741748,MICS 2018-19
TLS,2016,8.6968431,DHS 2016
TGO,2017,12.14184,MICS 2017
TTO,2011,2.379179,MICS 2011
TUR,2013,2.51911,DHS style 2013
TKM,2019,0.7565136,MICS 2019
TUV,2020,22.633511,MICS 2019-20
UKR,2012,0.89999998,MICS 2012
URY,2013,9.2928085,MICS 2012-13
VNM,2014,6.0178428,MICS 2014
YEM,2013,21.608431,DHS 2013
ZWE,2019,19.1,MICS 2019
IDN,2017,5.5017729,DHS 2017
MMR,2016,16.5,DHS 2015-16
PHL,2017,4.3036718,DHS 2017
SEN,2019,39.283192,DHS 2019
CUB,2019,2.2340729,MICS 2019
SDN,2014,20.799999,MICS 2014
EGY,2014,9.9147444,DHS 2014
SSD,2010,62.96674,MICS 2010
PSE,2020,3.847523,MICS 2019-20
MNE,2018,1.288602,MICS 2018
SRB,2019,0.1906551,MICS 2019
TUN,2018,7.0,MICS 2018
COL,2015,3.5999999,DHS 2015
RWA,2015,25.799999,DHS 2014-15
TZA,2016,57.0,DHS 2015-16
COD,2018,16.73694,MICS 2017-18
UGA,2016,22.785629,DHS 2016
MWI,2016,7.964612,DHS 2015-16
ZMB,2018,23.26379,DHS 2018
CMR,2018,19.109541,DHS 2018
TCD,2019,52.556648,MICS 2019
CAF,2019,24.15966,MICS 2018-19
COG,2015,6.9203768,MICS 2014-15
NGA,2018,26.6,DHS 2018
BEN,2018,41.400002,DHS 2017-18
COM,2012,14.41523,DHS 2012
IND,2016,7.2216291,DHS 2015-16
