iso3,time_period,value
AFG,2022,33.1
ALB,2022,8.3
DZA,2022,8.6
AGO,2022,43.6
ARG,2022,9.5
ARM,2022,7.2
TCA,2022,2.9
AUS,2022,3.4
AZE,2022,13.3
BHR,2022,5.0
BGD,2022,26.4
BRB,2022,6.0
BLR,2022,3.6
BEL,2022,2.4
BLZ,2022,12.0
BTN,2022,22.7
VEN,2022,10.5
BOL,2022,11.1
BIH,2022,8.0
BWA,2022,21.6
BRA,2022,7.2
GAB,2022,13.4
GMB,2022,13.6
GEO,2022,4.8
DEU,2022,2.1
GHA,2022,12.7
BRN,2022,10.9
BGR,2022,5.6
BFA,2022,21.8
BDI,2022,56.5
KHM,2022,22.3
CPV,2022,9.4
CHL,2022,1.6
CHN,2022,4.6
GRC,2022,2.2
CRI,2022,9.5
CZE,2022,2.5
CIV,2022,20.2
PRK,2022,16.8
DJI,2022,18.7
DOM,2022,5.6
ECU,2022,22.7
SLV,2022,10.0
GNQ,2022,16.1
ERI,2022,50.2
EST,2022,1.2
ETH,2022,34.4
GTM,2022,43.5
GNB,2022,27.7
GIN,2022,27.9
GUY,2022,7.6
HTI,2022,19.5
HND,2022,17.5
IRN,2022,4.7
IRQ,2022,9.9
JAM,2022,6.5
JPN,2022,5.0
JOR,2022,6.6
KAZ,2022,4.9
KEN,2022,18.4
KIR,2022,14.2
KWT,2022,6.9
KGZ,2022,10.3
LAO,2022,27.7
LVA,2022,1.8
LBN,2022,7.4
LSO,2022,31.8
LBR,2022,26.6
LBY,2022,52.2
MHL,2022,30.5
MRT,2022,22.1
MUS,2022,8.6
PRY,2022,3.4
PER,2022,10.1
LTU,2022,4.5
MDG,2022,38.6
MYS,2022,21.9
MDV,2022,13.9
MLI,2022,23.8
MEX,2022,12.6
MDA,2022,3.9
MNG,2022,6.1
MAR,2022,12.8
MOZ,2022,36.4
NAM,2022,16.8
NRU,2022,14.8
NPL,2022,26.7
NLD,2022,1.6
NIC,2022,14.9
NER,2022,47.4
OMN,2022,12.7
PAK,2022,34.0
PAN,2022,13.8
POL,2022,2.3
PRT,2022,3.1
QAT,2022,4.4
KOR,2022,1.7
ROU,2022,7.7
LCA,2022,2.5
WSM,2022,7.4
TON,2022,1.8
STP,2022,10.0
SAU,2022,12.4
SYC,2022,7.2
SLE,2022,26.0
SGP,2022,3.0
SLB,2022,29.8
SOM,2022,18.0
ZAF,2022,22.8
LKA,2022,15.9
SUR,2022,7.6
SWZ,2022,21.2
SYR,2022,25.4
TJK,2022,13.1
THA,2022,11.8
MKD,2022,3.7
TLS,2022,45.1
TGO,2022,22.3
TTO,2022,8.8
TUR,2022,5.5
TKM,2022,6.7
TUV,2022,5.2
UKR,2022,12.3
USA,2022,3.6
URY,2022,6.1
UZB,2022,6.9
VNM,2022,19.3
YEM,2022,35.1
ZWE,2022,21.6
IDN,2022,31.0
MMR,2022,24.1
PNG,2022,51.2
PHL,2022,28.8
FJI,2022,7.1
VUT,2022,31.4
SEN,2022,17.0
CUB,2022,7.0
SDN,2022,36.0
EGY,2022,20.4
SSD,2022,27.9
PSE,2022,7.5
MNE,2022,8.2
SRB,2022,4.6
TUN,2022,8.6
COL,2022,11.2
RWA,2022,29.8
TZA,2022,30.6
COD,2022,40.3
UGA,2022,23.4
MWI,2022,34.0
ZMB,2022,31.4
CMR,2022,26.9
TCD,2022,32.3
CAF,2022,39.8
COG,2022,16.5
NGA,2022,34.2
BEN,2022,30.4
COM,2022,18.8
IND,2022,31.7
