iso3,time_period,obs_value,data_source
AFG,2023,67.0,MNCH_SRC_2713
ALB,2018,100.0,MNCH_SRC_33
DZA,2019,96.6,MNCH_SRC_47
AGO,2016,50.1,MNCH_SRC_55
ARG,2020,96.9,MNCH_SRC_116
ARM,2016,100.0,MNCH_SRC_55
AUT,2022,98.4,MNCH_SRC_2722
AZE,2023,100.0,MNCH_SRC_2940
BGD,2022,71.1,MNCH_SRC_2617
BLR,2019,100.0,MNCH_SRC_249
BLZ,2016,97.3,MNCH_SRC_271
BTN,2023,61.5,MNCH_SRC_2955
BOL,2016,90.4,MNCH_SRC_320
BIH,2006,100.0,MNCH_SRC_40
GAB,2012,90.9,MNCH_SRC_889
GMB,2020,86.2,MNCH_SRC_902
GEO,2005,100.0,MNCH_SRC_912
GHA,2022,88.3,MNCH_SRC_2617
BFA,2021,97.3,MNCH_SRC_2643
BDI,2017,91.3,MNCH_SRC_421
KHM,2022,97.6,MNCH_SRC_2757
CPV,2018,99.4,MNCH_SRC_2647
CRI,2018,97.8,MNCH_SRC_609
CIV,2021,84.1,MNCH_SRC_2577
DJI,2012,82.7,MNCH_SRC_740
DOM,2019,98.1,MNCH_SRC_249
ECU,2020,99.2,MNCH_SRC_2784
SLV,2021,98.6,MNCH_SRC_2590
GNQ,2011,70.3,MNCH_SRC_188
ERI,2002,30.0,MNCH_SRC_742
ETH,2019,55.1,MNCH_SRC_841
GTM,2015,70.3,MNCH_SRC_970
GNB,2019,61.8,MNCH_SRC_47
GIN,2018,59.2,MNCH_SRC_455
GUY,2020,99.1,MNCH_SRC_116
HTI,2017,37.3,MNCH_SRC_421
HND,2019,93.7,MNCH_SRC_1021
IRQ,2018,97.3,MNCH_SRC_609
JAM,2011,96.7,MNCH_SRC_267
JOR,2023,100.0,MNCH_SRC_2978
KAZ,2015,99.3,MNCH_SRC_1181
KEN,2022,88.1,MNCH_SRC_2617
KIR,2019,96.4,MNCH_SRC_1207
KGZ,2023,100.0,MNCH_SRC_2940
LAO,2017,56.0,MNCH_SRC_709
LSO,2024,89.9,MNCH_SRC_2986
LBR,2020,84.4,MNCH_SRC_1295
MHL,2007,93.5,MNCH_SRC_233
MRT,2020,69.9,MNCH_SRC_2645
PRY,2016,96.6,MNCH_SRC_621
PER,2023,92.7,MNCH_SRC_2927
MDG,2021,43.8,MNCH_SRC_2644
MYS,2016,98.0,MNCH_SRC_1359
MDV,2017,99.2,MNCH_SRC_421
MLI,2024,70.4,MNCH_SRC_2993
MEX,2015,98.5,MNCH_SRC_1181
MDA,2012,100.0,MNCH_SRC_253
MNG,2018,100.0,MNCH_SRC_1480
MAR,2018,92.4,MNCH_SRC_1502
MOZ,2015,75.3,MNCH_SRC_1513
NAM,2013,88.0,MNCH_SRC_751
NRU,2007,90.6,MNCH_SRC_233
NPL,2022,80.4,MNCH_SRC_2617
NIC,2012,88.4,MNCH_SRC_1573
NER,2021,42.5,MNCH_SRC_1595
OMN,2014,99.4,MNCH_SRC_283
PAK,2019,75.9,MNCH_SRC_1691
PAN,2015,98.5,MNCH_SRC_1712
WSM,2020,93.7,MNCH_SRC_2875
TON,2019,100.0,MNCH_SRC_249
STP,2019,98.4,MNCH_SRC_249
SLE,2019,89.5,MNCH_SRC_1933
SLB,2015,88.2,MNCH_SRC_15
SOM,2019,30.5,MNCH_SRC_2628
ZAF,2016,96.7,MNCH_SRC_836
LKA,2016,99.3,MNCH_SRC_836
SUR,2018,98.8,MNCH_SRC_609
SWZ,2022,95.7,MNCH_SRC_2770
SYR,2006,97.2,MNCH_SRC_40
TJK,2023,99.3,MNCH_SRC_2880
THA,2022,100.0,MNCH_SRC_2770
MKD,2006,99.6,MNCH_SRC_893
TLS,2016,57.8,MNCH_SRC_836
TGO,2017,63.8,MNCH_SRC_709
TTO,2022,99.7,MNCH_SRC_2770
TUR,2018,98.9,MNCH_SRC_2127
TKM,2019,100.0,MNCH_SRC_2134
TUV,2007,100.0,MNCH_SRC_233
UKR,2012,98.6,MNCH_SRC_253
URY,2013,99.7,MNCH_SRC_44
UZB,2022,100.0,MNCH_SRC_2637
VNM,2014,86.9,MNCH_SRC_1210
YEM,2013,52.4,MNCH_SRC_751
ZWE,2019,89.0,MNCH_SRC_249
IDN,2017,86.9,MNCH_SRC_1060
MMR,2016,60.8,MNCH_SRC_55
PNG,2018,61.1,MNCH_SRC_1724
PHL,2022,88.8,MNCH_SRC_2617
FJI,2021,100.0,MNCH_SRC_2566
VUT,2023,92.3,MNCH_SRC_2940
SEN,2023,92.1,MNCH_SRC_2880
CUB,2019,100.0,MNCH_SRC_249
SDN,2014,76.6,MNCH_SRC_283
EGY,2021,96.8,MNCH_SRC_2787
SSD,2010,25.4,MNCH_SRC_2006
PSE,2020,99.3,MNCH_SRC_116
SRB,2014,98.1,MNCH_SRC_283
TUN,2023,100.0,MNCH_SRC_2940
COL,2019,98.6,MNCH_SRC_562
RWA,2020,97.7,MNCH_SRC_1295
TZA,2022,85.1,MNCH_SRC_2617
COD,2018,86.9,MNCH_SRC_721
UGA,2022,89.9,MNCH_SRC_2617
MWI,2020,96.6,MNCH_SRC_116
ZMB,2019,84.0,MNCH_SRC_2256
CMR,2018,66.9,MNCH_SRC_455
TCD,2019,41.8,MNCH_SRC_249
CAF,2019,43.0,MNCH_SRC_47
COG,2015,91.8,MNCH_SRC_573
NGA,2024,33.4,MNCH_SRC_2922
BEN,2022,80.2,MNCH_SRC_2637
COM,2022,94.1,MNCH_SRC_2770
IND,2021,89.7,MNCH_SRC_1046
