iso3,time_period,value,data_source
AFG,2024,0.4,UNSD SDG Database
ALB,2024,24.6,UNSD SDG Database
DZA,2024,72.3,UNSD SDG Database
AND,2024,12.2,UNSD SDG Database
AGO,2024,0.3,UNSD SDG Database
ARG,2024,87.8,UNSD SDG Database
ARM,2024,31.8,UNSD SDG Database
ABW,2024,5,UNSD SDG Database
AUS,2024,100,UNSD SDG Database
AUT,2024,100,UNSD SDG Database
AZE,2024,10.3,UNSD SDG Database
BHS,2024,1.3,UNSD SDG Database
BHR,2024,7.6,UNSD SDG Database
BGD,2024,44.5,UNSD SDG Database
BRB,2024,13.1,UNSD SDG Database
FRA,2024,100,UNSD SDG Database
BEL,2024,100,UNSD SDG Database
BLZ,2024,3,UNSD SDG Database
BMU,2024,1.4,UNSD SDG Database
BTN,2024,4,UNSD SDG Database
BOL,2024,62.8,UNSD SDG Database
BIH,2024,14.6,UNSD SDG Database
BWA,2024,2.3,UNSD SDG Database
BRA,2024,65.9,UNSD SDG Database
GAB,2024,37,UNSD SDG Database
GMB,2024,11.1,UNSD SDG Database
GEO,2024,30.2,UNSD SDG Database
DEU,2024,100,UNSD SDG Database
GHA,2024,30.4,UNSD SDG Database
VGB,2024,0,UNSD SDG Database
BGR,2024,61,UNSD SDG Database
BFA,2024,8.7,UNSD SDG Database
BDI,2024,20.2,UNSD SDG Database
KHM,2024,7,UNSD SDG Database
CAN,2024,100,UNSD SDG Database
CPV,2024,42.3,UNSD SDG Database
CHL,2024,57.5,UNSD SDG Database
CHN,2024,2.9,UNSD SDG Database
GRC,2024,48.9,UNSD SDG Database
GRL,2024,100,UNSD SDG Database
CRI,2024,44.2,UNSD SDG Database
HRV,2024,45.7,UNSD SDG Database
CYP,2024,100,UNSD SDG Database
CZE,2024,16.3,UNSD SDG Database
CIV,2024,9.5,UNSD SDG Database
DNK,2024,100,UNSD SDG Database
DJI,2024,3.5,UNSD SDG Database
DOM,2024,68.2,UNSD SDG Database
ECU,2024,29.2,UNSD SDG Database
SLV,2024,0.5,UNSD SDG Database
GNQ,2024,1.4,UNSD SDG Database
ERI,2024,10.2,UNSD SDG Database
EST,2024,100,UNSD SDG Database
ETH,2024,4.5,UNSD SDG Database
FIN,2024,100,UNSD SDG Database
GTM,2024,2.8,UNSD SDG Database
GIN,2024,6.2,UNSD SDG Database
HTI,2024,4.1,UNSD SDG Database
HND,2024,18.7,UNSD SDG Database
HUN,2024,100,UNSD SDG Database
ISL,2024,74.7,UNSD SDG Database
IRN,2024,86.9,UNSD SDG Database
IRQ,2024,23.6,UNSD SDG Database
IRL,2024,100,UNSD SDG Database
ISR,2024,100,UNSD SDG Database
ITA,2024,100,UNSD SDG Database
JAM,2024,35.1,UNSD SDG Database
JPN,2024,85.4,UNSD SDG Database
MLT,2024,66.7,UNSD SDG Database
JOR,2024,13.6,UNSD SDG Database
KAZ,2024,54.4,UNSD SDG Database
KEN,2024,3.2,UNSD SDG Database
KIR,2024,1.3,UNSD SDG Database
KWT,2024,7,UNSD SDG Database
KGZ,2024,16,UNSD SDG Database
LVA,2024,100,UNSD SDG Database
LBN,2024,35.8,UNSD SDG Database
LSO,2024,67.2,UNSD SDG Database
LBR,2024,5.8,UNSD SDG Database
LBY,2024,55.3,UNSD SDG Database
MHL,2024,0,UNSD SDG Database
MRT,2024,4.9,UNSD SDG Database
MUS,2024,10.8,UNSD SDG Database
PRY,2024,21.1,UNSD SDG Database
PER,2024,14.4,UNSD SDG Database
LIE,2024,100,UNSD SDG Database
LTU,2024,100,UNSD SDG Database
LUX,2024,100,UNSD SDG Database
MDG,2024,21.3,UNSD SDG Database
MYS,2024,1.6,UNSD SDG Database
MDV,2024,8.2,UNSD SDG Database
MLI,2024,15.7,UNSD SDG Database
MEX,2024,23.5,UNSD SDG Database
FSM,2024,6.8,UNSD SDG Database
MDA,2024,22.9,UNSD SDG Database
MNG,2024,100,UNSD SDG Database
MAR,2024,15.8,UNSD SDG Database
MOZ,2024,0.1,UNSD SDG Database
NAM,2024,38.7,UNSD SDG Database
NRU,2024,66,UNSD SDG Database
NPL,2024,27.5,UNSD SDG Database
NLD,2024,100,UNSD SDG Database
NCL,2024,98.6,UNSD SDG Database
NZL,2024,79.9,UNSD SDG Database
NIC,2024,1,UNSD SDG Database
NER,2024,4.2,UNSD SDG Database
NOR,2024,100,UNSD SDG Database
OMN,2024,1.3,UNSD SDG Database
PAK,2024,5.2,UNSD SDG Database
PAN,2024,76.7,UNSD SDG Database
POL,2024,100,UNSD SDG Database
PRT,2024,91.5,UNSD SDG Database
PRI,2024,13.2,UNSD SDG Database
QAT,2024,1.3,UNSD SDG Database
KOR,2024,35.3,UNSD SDG Database
ROU,2024,100,UNSD SDG Database
KNA,2024,5.3,UNSD SDG Database
LCA,2024,5.1,UNSD SDG Database
VCT,2024,1.2,UNSD SDG Database
WSM,2024,0,UNSD SDG Database
TON,2024,0,UNSD SDG Database
STP,2024,17.2,UNSD SDG Database
SAU,2024,30.2,UNSD SDG Database
SYC,2024,3.5,UNSD SDG Database
SLE,2024,0.8,UNSD SDG Database
SGP,2024,27.8,UNSD SDG Database
SVK,2024,100,UNSD SDG Database
SVN,2024,100,UNSD SDG Database
ZAF,2024,66.4,UNSD SDG Database
ESP,2024,55.3,UNSD SDG Database
LKA,2024,36.1,UNSD SDG Database
SUR,2024,56.4,UNSD SDG Database
SWZ,2024,15.9,UNSD SDG Database
SWE,2024,100,UNSD SDG Database
CHE,2024,100,UNSD SDG Database
TJK,2024,15.6,UNSD SDG Database
THA,2024,31.8,UNSD SDG Database
MKD,2024,22.6,UNSD SDG Database
TLS,2024,38.2,UNSD SDG Database
TGO,2024,74.5,UNSD SDG Database
TTO,2024,18.1,UNSD SDG Database
TUR,2024,37.4,UNSD SDG Database
TKM,2024,14.5,UNSD SDG Database
TUV,2024,0,UNSD SDG Database
UKR,2024,100,UNSD SDG Database
ARE,2024,0.2,UNSD SDG Database
GBR,2024,100,UNSD SDG Database
USA,2024,82.4,UNSD SDG Database
URY,2024,65.6,UNSD SDG Database
UZB,2024,51,UNSD SDG Database
VNM,2024,1.4,UNSD SDG Database
ZWE,2024,7,UNSD SDG Database
IDN,2024,43.6,UNSD SDG Database
MMR,2024,2.1,UNSD SDG Database
PNG,2024,0,UNSD SDG Database
PHL,2024,9.9,UNSD SDG Database
FJI,2024,10.8,UNSD SDG Database
VUT,2024,12.9,UNSD SDG Database
SEN,2024,27.1,UNSD SDG Database
CUB,2024,0.2,UNSD SDG Database
SDN,2024,8.1,UNSD SDG Database
EGY,2024,23.9,UNSD SDG Database
SSD,2024,17.7,UNSD SDG Database
DMA,2024,0.7,UNSD SDG Database
MAF,2024,98.2,UNSD SDG Database
SXM,2024,4.3,UNSD SDG Database
MNE,2024,43.3,UNSD SDG Database
SRB,2024,32.6,UNSD SDG Database
TUN,2024,28.6,UNSD SDG Database
