iso3,time_period,obs_value,data_source
AFG,2024,42.0,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
ALB,2024,7.4,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
DZA,2024,8.9,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
AGO,2024,47.7,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
ARG,2024,10.7,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
ARM,2024,6.2,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
TCA,2024,3.2,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
AUS,2024,3.1,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
AZE,2024,6.8,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
BHR,2024,4.6,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
BGD,2024,25.1,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
BRB,2024,5.8,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
BLR,2024,1.1,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
BEL,2024,2.6,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
BLZ,2024,11.7,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
BTN,2024,17.9,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
VEN,2024,11.7,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
BOL,2024,10.7,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
BIH,2024,7.9,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
BWA,2024,21.0,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
BRA,2024,8.9,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
GAB,2024,13.7,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
GMB,2024,14.0,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
GEO,2024,4.7,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
DEU,2024,2.2,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
GHA,2024,15.6,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
BRN,2024,9.9,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
BGR,2024,5.5,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
BFA,2024,19.5,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
BDI,2024,55.3,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
KHM,2024,22.0,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
CPV,2024,5.3,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
CHL,2024,1.7,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
CHN,2024,4.5,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
GRC,2024,2.0,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
CRI,2024,10.6,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
CZE,2024,2.4,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
CIV,2024,20.3,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
PRK,2024,16.6,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
DJI,2024,20.9,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
DOM,2024,5.6,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
ECU,2024,17.7,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
SLV,2024,9.4,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
GNQ,2024,17.1,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
ERI,2024,48.0,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
EST,2024,1.3,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
ETH,2024,35.5,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
FIN,2024,1.7,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
GTM,2024,44.6,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
GNB,2024,28.3,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
GIN,2024,26.6,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
GUY,2024,7.1,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
HTI,2024,21.6,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
HND,2024,17.9,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
IRN,2024,4.8,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
IRQ,2024,9.4,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
IRL,2024,2.2,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
JAM,2024,6.9,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
JPN,2024,5.2,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
MLT,2024,3.5,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
JOR,2024,7.7,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
KAZ,2024,4.4,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
KEN,2024,17.9,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
KIR,2024,14.7,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
KWT,2024,4.5,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
KGZ,2024,11.0,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
LAO,2024,29.9,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
LVA,2024,1.7,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
LBN,2024,10.1,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
LSO,2024,35.0,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
LBR,2024,26.9,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
LBY,2024,9.2,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
MHL,2024,30.0,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
MRT,2024,21.5,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
MUS,2024,7.8,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
PRY,2024,3.2,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
PER,2024,10.6,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
LTU,2024,1.6,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
MDG,2024,38.4,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
MYS,2024,24.3,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
MDV,2024,14.2,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
MLI,2024,23.2,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
MEX,2024,13.1,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
MDA,2024,4.2,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
MNG,2024,7.1,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
MAR,2024,13.7,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
MOZ,2024,37.0,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
NAM,2024,16.4,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
NRU,2024,16.0,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
NPL,2024,26.0,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
NLD,2024,1.6,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
NER,2024,48.3,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
OMN,2024,12.9,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
PAK,2024,33.6,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
PAN,2024,14.0,UNICEF/WHO/World Bank Joint Malnutrition Estimates - Country Level Stunting Estimates
