iso3,time_period,value,data_source
AIA,2023,5.864476277,
VGB,2023,12.61025223,
MSR,2023,6.712799465,
TCA,2023,5.025951615,
EGY,2023,16.31647512,
SDN,2023,44.97736844,
SSD,2023,93.39706089,
AFG,2023,51.57840181,
AGO,2023,58.80692087,
ALB,2023,8.612596337,
AND,2023,2.246627014,
ARE,2023,4.548226934,
ARG,2023,8.762878576,
ARM,2023,9.043753214,
ATG,2023,8.476068629,
AUS,2023,3.353579118,
AUT,2023,2.843418097,
AZE,2023,17.37044368,
BDI,2023,45.02573237,
BEL,2023,3.201642267,
BEN,2023,72.42827348,
BFA,2023,72.6535941,
BGD,2023,28.36627692,
BGR,2023,5.574713578,
BHR,2023,8.386105994,
BHS,2023,11.66854921,
BIH,2023,5.508685191,
BLR,2023,2.144231601,
BLZ,2023,11.44543143,
BOL,2023,20.81586144,
BRA,2023,12.81803767,
BRB,2023,9.224844669,
BRN,2023,8.670925715,
BTN,2023,20.91388709,
BWA,2023,35.25077201,
CAF,2023,86.00245262,
CAN,2023,4.659261166,
CHE,2023,3.594218044,
CHL,2023,6.57591517,
CHN,2023,5.856894287,
CIV,2023,59.74361033,
CMR,2023,61.85478062,
COD,2023,67.62418066,
COG,2023,36.77261669,
COL,2023,10.73306034,
COM,2023,37.22672066,
CPV,2023,10.49057317,
CRI,2023,9.670655383,
CUB,2023,7.353388231,
CYP,2023,3.296369759,
CZE,2023,2.257679923,
DEU,2023,3.384064134,
DJI,2023,45.5490139,
DMA,2023,33.12166457,
DNK,2023,3.132981641,
DOM,2023,28.53897034,
DZA,2023,20.0606951,
ECU,2023,11.3269025,
ERI,2023,31.06720609,
ESP,2023,2.811726179,
EST,2023,1.890806037,
ETH,2023,40.29083009,
FIN,2023,2.089689975,
FJI,2023,26.35753159,
FRA,2023,3.954572959,
FSM,2023,20.10788316,
GAB,2023,29.41936566,
GBR,2023,4.041936215,
GEO,2023,8.134982648,
GHA,2023,32.7875532,
GIN,2023,87.68465948,
GMB,2023,39.17369765,
GNB,2023,63.35895036,
GNQ,2023,65.06948509,
GRC,2023,3.435926505,
GRD,2023,16.68969618,
GTM,2023,19.0990124,
GUY,2023,22.4526559,
HND,2023,13.797138,
HRV,2023,4.088421231,
HTI,2023,49.84888538,
HUN,2023,3.421218489,
IDN,2023,18.48756825,
IND,2023,27.81974394,
IRL,2023,3.513348487,
IRN,2023,11.15360743,
IRQ,2023,20.35525211,
ISL,2023,2.377859053,
ISR,2023,3.112416774,
ITA,2023,2.527482544,
JAM,2023,16.84609083,
JOR,2023,11.92738072,
JPN,2023,2.246870683,
KAZ,2023,8.434721051,
KEN,2023,35.6014682,
KGZ,2023,14.94816086,
KHM,2023,20.23202573,
KIR,2023,50.45438732,
KNA,2023,14.56932885,
KOR,2023,2.49730162,
KWT,2023,7.91177772,
LAO,2023,34.49752479,
LBN,2023,16.96974644,
LBR,2023,66.28585529,
LBY,2023,29.80738715,
LCA,2023,14.10502704,
LKA,2023,5.464662429,
LSO,2023,52.83027665,
LTU,2023,3.073520409,
LUX,2023,2.113932694,
LVA,2023,2.724320947,
MAR,2023,14.89858343,
MCO,2023,2.457791676,
MDA,2023,12.98913805,
MDG,2023,59.45964352,
MDV,2023,5.234351406,
MEX,2023,11.2325777,
MHL,2023,24.83498385,
MKD,2023,3.072159808,
MLI,2023,86.09872973,
MLT,2023,5.102116918,
MMR,2023,34.56950835,
MNE,2023,2.41741698,
MNG,2023,12.17087698,
MOZ,2023,57.12499071,
MRT,2023,33.88360889,
MUS,2023,13.50327943,
MWI,2023,33.97519459,
MYS,2023,7.320181573,
NAM,2023,36.55955989,
NER,2023,110.717603,
NGA,2023,99.45899846,
NIC,2023,11.96228951,
NLD,2023,3.557829184,
NOR,2023,2.115047435,
NPL,2023,24.35383601,
NRU,2023,8.063951512,
NZL,2023,4.300101575,
OMN,2023,9.458073088,
PAK,2023,53.80278349,
PAN,2023,12.14619912,
PER,2023,14.19024823,
PHL,2023,23.99998227,
PLW,2023,19.94909396,
PNG,2023,36.9742642,
POL,2023,3.906483634,
PRK,2023,16.05000553,
PRT,2023,2.858371154,
PRY,2023,15.3040645,
PSE,2023,25.07917211,
QAT,2023,5.644215382,
ROU,2023,6.042951843,
RUS,2023,4.027299467,
RWA,2023,36.11517406,
SAU,2023,6.030166027,
SEN,2023,34.11258484,
SGP,2023,1.906470351,
SLB,2023,18.78233906,
SLE,2023,88.36729851,
SLV,2023,9.427144245,
SMR,2023,1.307420417,
SOM,2023,98.09151414,
SRB,2023,4.676163359,
STP,2023,12.50613472,
SUR,2023,14.24928684,
SVK,2023,5.436149154,
SVN,2023,2.049235758,
SWE,2023,2.248067964,
SWZ,2023,40.1980852,
SYC,2023,13.12366559,
SYR,2023,18.47461254,
TCD,2023,94.84948048,
TGO,2023,53.71982218,
THA,2023,8.273252826,
TJK,2023,23.88187873,
TKM,2023,34.67724477,
TLS,2023,45.78351096,
TON,2023,8.836804268,
TTO,2023,17.26030599,
TUN,2023,12.07721248,
TUR,2023,12.09306039,
TUV,2023,17.57029811,
TZA,2023,34.98541542,
UGA,2023,34.60938487,
UKR,2023,7.247716752,
URY,2023,5.921289265,
USA,2023,5.912238009,
UZB,2023,11.60294411,
VCT,2023,9.661724321,
VEN,2023,22.19562089,
VNM,2023,16.33761254,
VUT,2023,15.60942695,
WSM,2023,14.0960734,
YEM,2023,35.5278429,
ZAF,2023,31.91713197,
ZMB,2023,40.52257184,
ZWE,2023,39.34143955,
COK,2023,12.9509262,
NIU,2023,21.60332124,
