iso3,time_period,value
AFG,2022,82.17537111817064
ALB,2022,95.09456352203576
DZA,2022,94.66139754792378
ASM,2021,99.24475181165087
AND,2022,100.0
AGO,2022,57.7195606692859
ARG,2016,99.04137378083333
ARM,2022,99.96830449708364
ABW,2016,97.86902338098588
TCA,2022,98.8035417706889
AIA,2017,97.48227424749163
ATG,2022,98.36493561830325
AUS,2022,99.96973139181391
AUT,2022,99.99999936640882
AZE,2022,97.6421868392552
BHS,2019,98.88696049734048
BHR,2022,99.91989902098288
BGD,2022,98.09706298490782
BRB,2022,98.51445041861956
FRA,2022,100.0
BLR,2022,99.17886811268986
BEL,2022,100.0
BLZ,2022,98.40523412324544
BMU,2022,99.90314001706358
BTN,2022,99.13144630446043
VEN,2022,93.33161098943037
BOL,2022,94.11337038361637
BIH,2022,96.09347421866396
BWA,2022,92.56756198784339
BRA,2022,99.59377130702234
GUF,2022,94.35883804812038
PYF,2022,100.0
GAB,2022,86.92776587677693
GMB,2022,85.6466129857002
GEO,2022,94.97753546009584
DEU,2022,99.99999855688226
GHA,2022,88.36760954923214
GIB,2022,100.0
VGB,2022,99.86438356164388
BRN,2022,99.90005116414872
BGR,2022,99.06253278811856
BFA,2022,49.50587416487559
BDI,2022,62.44097549077742
KHM,2022,78.00650418016536
CAN,2022,99.22218431458889
CPV,2022,89.8707246052462
CYM,2022,95.49785276073621
CHL,2022,99.99999829632257
CHN,2022,97.64692955325317
GRC,2022,99.99999949220489
GRL,2022,100.0
GRD,2017,95.62865044355469
COK,2022,99.97161021730103
CRI,2022,99.81312891222242
HRV,2007,98.68487857505419
CYP,2022,99.76506273522055
CZE,2022,99.88085662869881
CIV,2022,72.85092565059834
PRK,2022,93.88750192714511
DNK,2022,100.0
DJI,2022,76.16711707975473
DOM,2022,96.75452434228042
ECU,2022,95.70334323140167
SLV,2022,98.59315998923782
GNQ,2017,64.66581880818772
ERI,2016,51.84971602427002
EST,2022,100.0
ETH,2022,51.51295966432166
FLK,2020,95.30892705204872
FRO,2022,100.0
FIN,2022,100.0
GLP,2022,99.88733287272261
GUM,2022,99.6952
GTM,2022,94.6161088345289
GNB,2022,61.77613327556767
GIN,2022,71.45121160945912
GUY,2022,95.85973727982199
HTI,2022,67.41888471601942
