iso3,time_period,value
AFG,2022,55.95194129
ALB,2022,99.29926613
DZA,2022,85.8262894
ASM,2022,54.14529859
AND,2022,100
AGO,2022,52.17727576
ARG,2016,94.82095566
ARM,2022,93.97971416
ABW,2022,98.84000172
TCA,2022,93.1462182
AIA,2017,96.70216161
ATG,2022,97.40371851
AUS,2022,100
AUT,2022,99.97236712
AZE,2019,96.12902945
BHS,2019,94.93058233
BHR,2022,100
BGD,2022,59.29519147
BRB,2022,98.09246231
FRA,2022,98.64599635
BLR,2022,99.55866392
BEL,2022,99.48621705
BLZ,2022,88.25107793
BMU,2022,99.9416526
BTN,2022,77.94007424
VEN,2022,98.39558598
BOL,2022,68.6125631
BIH,2018,95.38505927
BWA,2022,80.55081682
BRA,2022,90.88349937
GUF,2022,93.52893064
PYF,2022,97.00338108
GAB,2022,49.89623452
GMB,2022,47.71599214
GEO,2022,86.25801846
DEU,2022,99.22620374
GHA,2022,28.58388717
GIB,2022,100
VGB,2016,96.85797948
BRN,2022,99.48082541
BGR,2022,86.05586288
BFA,2022,24.75649355
BDI,2022,45.69068464
KHM,2022,76.71941834
CAN,2022,98.5883582
CPV,2022,83.04530327
CYM,2022,83.26628834
CHL,2022,99.9999983
CHN,2022,95.89236141
GRC,2022,99.00058311
GRL,2022,62.5
GRD,2017,91.49389213
COK,2022,85.43983148
CRI,2022,98.38362155
HRV,2021,96.17281675
CYP,2022,99.39677595
CZE,2022,99.1363582
CIV,2022,36.96208394
PRK,2022,84.76503884
DNK,2022,99.59722924
DJI,2022,66.90521345
DOM,2022,88.68179188
ECU,2022,92.27250109
SLV,2022,87.55278375
GNQ,2017,66.31279236
ERI,2016,11.93996562
EST,2022,99.06022055
ETH,2022,9.336216099
FLK,2022,100
FRO,2015,90.88347572
FIN,2022,99.44794708
GLP,2022,99.81339246
GUM,2022,90.37657915
GTM,2022,69.6217279
GNB,2022,27.84381859
GIN,2022,31.27074171
GUY,2022,90.98920741
HTI,2022,37.47587886
HND,2022,84.39699137
HUN,2022,97.97873701
ISL,2022,98.77932673
IRN,2022,90.36473106
IRQ,2022,98.49878055
IRL,2022,89.25487065
IMN,2022,100
ISR,2022,99.9245194
ITA,2022,99.8850365
JAM,2022,86.55259763
JPN,2022,99.93768895
MLT,2022,99.96442282
JOR,2022,97.14488579
KAZ,2022,97.8608458
KEN,2022,36.52872003
KIR,2022,45.18205388
KWT,2022,100
KGZ,2022,97.8645711
LAO,2022,79.51363385
LVA,2021,92.43718112
LBN,2022,99.2
LSO,2022,50.27919299
LBR,2022,22.5233825
LBY,2022,92.10600221
MHL,2022,81.45967436
MTQ,2022,99.49496291
MRT,2022,55.9298944
MUS,2017,95.45875842
PRY,2022,94.57274844
PER,2022,78.45945658
LIE,2022,99.95
LTU,2022,95.30673634
LUX,2022,97.58592941
MAC,2022,100
MDG,2022,14.75428511
MYS,2022,95.9961352
MDV,2022,99.70053886
MLI,2022,50.20855112
BLM,2022,100
MYT,2022,100
MEX,2022,92.51844777
FSM,2020,90.45390072
MDA,2022,84.91095192
MCO,2022,100
MNG,2022,69.96488196
MSR,2022,89.09775059
MAR,2022,87.51634866
MOZ,2022,37.37979668
NAM,2022,35.84054136
NRU,2021,65.93204458
NPL,2022,80.39270303
NLD,2022,97.67023434
NCL,2022,100
NZL,2022,100
NIC,2020,73.02109765
NER,2022,16.409657
NIU,2022,97.42536353
MNP,2022,80.32728434
NOR,2022,98.04901186
OMN,2022,99.32061563
PAK,2022,70.52881326
PLW,2022,99.01850659
PAN,2022,85.87987561
POL,2022,98.95708252
PRT,2022,99.66125673
PRI,2022,100
QAT,2022,99.93654508
KOR,2022,99.81678226
ROU,2022,88.28422943
REU,2022,99.47478896
SHN,2022,100
SPM,2022,99.92035325
KNA,2017,94.95359452
LCA,2022,83.35798879
VCT,2018,89.7010626
WSM,2022,97.9278645
TKL,2022,96.80264842
TON,2022,95.2955413
SMR,2022,100
STP,2022,47.84264723
SAU,2022,95.34806754
SYC,2022,100
SLE,2022,22.91918718
SGP,2022,100
SVK,2022,97.5363607
SVN,2022,98.31115775
SLB,2021,35.01829288
SOM,2022,40.57580312
ZAF,2022,77.63424598
ESP,2022,99.91861642
LKA,2022,95.08636078
SUR,2022,89.97234204
SWZ,2022,64.42023385
SWE,2022,98.86081461
CHE,2022,99.89987583
SYR,2022,94.98032512
TJK,2022,96.74832912
THA,2022,99.01562526
MKD,2022,98.98180753
TLS,2022,58.37835321
TGO,2022,19.19763671
TTO,2022,93.91521101
TUR,2022,99.24875002
TKM,2022,99.81820839
TUV,2022,83.54633466
UKR,2022,97.74530072
ARE,2022,99.09130546
GBR,2022,99.10479026
VIR,2022,99.10854398
USA,2022,99.63161091
URY,2022,98.32483129
UZB,2022,96.30669419
VNM,2022,92.17034029
WLF,2022,94.15574256
YEM,2022,54.84475849
ZWE,2022,34.61785812
IDN,2022,88.1568806
MMR,2022,74.13015344
PNG,2022,19.30472877
PHL,2022,84.75716182
FJI,2022,93.04374263
VUT,2022,46.71493338
SEN,2022,60.1839131
CUB,2022,92.14940965
SDN,2020,36.89208337
HKG,2022,96.50417399
EGY,2022,97.52875001
SSD,2022,16.0551794
CUW,2017,98.95027512
DMA,2017,80.36642488
BES,2022,95.4
MAF,2022,100
PSE,2022,99.44160572
SXM,2017,98.78102656
MNE,2022,97.81044651
SRB,2022,97.91041484
TUN,2022,97.43752699
RUS,2022,89.41852645
COL,2022,94.73097844
RWA,2022,73.82644548
TZA,2022,30.61794968
COD,2022,16.17447255
UGA,2022,21.01213034
MWI,2022,49.24128881
ZMB,2022,36.30136854
CMR,2022,43.11916534
TCD,2022,12.92206644
CAF,2022,13.84629384
COG,2021,20.55481021
NGA,2022,46.57067508
BEN,2022,19.49350171
COM,2019,35.90667575
IND,2022,78.38855995
