iso3,time_period,obs_value,data_source
ABW,2022,99.9,World Bank
AFE,2022,48.74204294,World Bank
AFG,2022,85.3,World Bank
AFW,2022,55.58890802,World Bank
AGO,2022,48.5,World Bank
ALB,2022,100,World Bank
AND,2022,100,World Bank
ARB,2022,90.65451791,World Bank
ARE,2022,100,World Bank
ARG,2022,100,World Bank
ARM,2022,100,World Bank
ASM,2022,,World Bank
ATG,2022,100,World Bank
AUS,2022,100,World Bank
AUT,2022,100,World Bank
AZE,2022,100,World Bank
BDI,2022,10.3,World Bank
BEL,2022,100,World Bank
BEN,2022,56.5,World Bank
BFA,2022,19.5,World Bank
BGD,2022,99.4,World Bank
BGR,2022,100,World Bank
BHR,2022,100,World Bank
BHS,2022,100,World Bank
BIH,2022,100,World Bank
BLR,2022,100,World Bank
BLZ,2022,98.6,World Bank
BMU,2022,100,World Bank
BOL,2022,99.9,World Bank
BRA,2022,100,World Bank
BRB,2022,100,World Bank
BRN,2022,100,World Bank
BTN,2022,100,World Bank
BWA,2022,75.9,World Bank
CAF,2022,15.7,World Bank
CAN,2022,100,World Bank
CEB,2022,100,World Bank
CHE,2022,100,World Bank
CHI,2022,100,World Bank
CHL,2022,100,World Bank
CHN,2022,100,World Bank
CIV,2022,70.4,World Bank
CMR,2022,71,World Bank
COD,2022,21.5,World Bank
COG,2022,50.6,World Bank
COL,2022,100,World Bank
COM,2022,89.9,World Bank
CPV,2022,97.1,World Bank
CRI,2022,100,World Bank
CSS,2022,97.56776866,World Bank
CUB,2022,100,World Bank
CUW,2022,100,World Bank
CYM,2022,100,World Bank
CYP,2022,100,World Bank
CZE,2022,100,World Bank
DEU,2022,100,World Bank
DJI,2022,65,World Bank
DMA,2022,100,World Bank
DNK,2022,100,World Bank
DOM,2022,98.1,World Bank
DZA,2022,100,World Bank
EAP,2022,98.02965691,World Bank
EAR,2022,95.14452824,World Bank
EAS,2022,98.2159983,World Bank
ECA,2022,99.99159835,World Bank
ECS,2022,99.99773438,World Bank
ECU,2022,100,World Bank
EGY,2022,100,World Bank
EMU,2022,100,World Bank
ERI,2022,55.4,World Bank
ESP,2022,100,World Bank
EST,2022,100,World Bank
ETH,2022,55,World Bank
EUU,2022,100,World Bank
FCS,2022,57.90924433,World Bank
FIN,2022,100,World Bank
FJI,2022,92,World Bank
FRA,2022,100,World Bank
FRO,2022,100,World Bank
FSM,2022,85.3,World Bank
GAB,2022,93.5,World Bank
GBR,2022,100,World Bank
GEO,2022,100,World Bank
GHA,2022,85.1,World Bank
GIB,2022,100,World Bank
