vulnerability,filename,min,max
Health – DTP1 access,P2_DTP1_access,45,98
Health – DTP3 access,P2_DTP3_access,40,98
Health – Skilled birth coverage,P2_Skilled_birth_coverage,25,100
Health – Access to electricity,P2_electricity_access,10,100
Nutrition - Stunting,P2_Stunting,1,50
Nutrition - Wasting,P2_Nutrition_Wasting,0,10
Nutrition – Child Food Poverty,P2_Child_Food_Poverty,0,70
WASH – At-least basic drinking water,P2_At-least_basic_drinking_water,35,100
WASH – At-least basic sanitation,P2_At-least_basic_sanitation,10,100
WASH – Basic hygiene,P2_Basic_hygiene,4,100
Education – Lower secondary out of school,P2_Lower_secondary_out_of_school,1,70
Education – Lower secondary completion rate,P2_Lower_secondary_completion_rate,1,100
Education – Learning poverty,P2_Learning_poverty,3,98
Protection – Child labor,P2_Child_labor,1,40
Protection – Child marriage,P2_Child_marriage,0,5000000
Poverty – Child poverty,P2_Child_poverty,3,83
Poverty – Under five covered by social protection,P2_Under_five_covered_by_social_protection,0,100
Survival – Under five mortality,P2_Under_five_mortality,1,100
